疑	Radical				Doubt	Doubt															This radical is the same as the kanji. It means <radical>doubt</radical>.					8204	-	Lesson_55 radical
赴	Kanji	走, ト	Run, Toe	radical, radical	Proceed, Move On	Proceed, Move On		<reading>ふ</reading>	おもむ			ふ	おもむ								You need to <radical>run</radical> on your <radical>toe</radical>s if you want to <kanji>proceed</kanji> down this road. If you can't run on your toes, well then you're out of luck, and you won't be able to <kanji>move on</kanji> at all. I didn't make this rule, I just enforce it. Now run!	Imagine trying to proceed down the road by running on your toes. No other part of your foot can touch the ground!	If you find that you can't <kanji>proceed</kanji>, you're a <reading>foo</reading>l (<ja>ふ</ja>). Everyone can run on their toes. Don't you know that? No? Then you're an even bigger fool, now get outta here!	Imagine being called a fool when you can't proceed along the road because running on your toes ends up being super hard to do.		8215	-	kanji Lesson_55
髄	Kanji	骨, 有, ⻌	Bone, Have, Scooter	radical, radical, radical	Marrow, Bone Marrow	Marrow, Bone Marrow		<reading>ずい</reading>				ずい									Your <radical>bone</radical>s <radical>have</radical> a <radical>scooter</radical> that moves through the <kanji>bone marrow</kanji> inside them.	If you think about it, bone marrow is really just a road for tiny blood scooters.	If you put your ear really close a bone with <kanji>marrow</kanji> still in it, you'll hear the scooters going <reading>zuwee</reading> (<ja>ずい</ja>) as they move the blood around inside there.	That's how doctors can tell if there's something wrong with your bone marrow. If they can't hear the zuuwee of the scooters, you're gonna die soon. I mean, maybe, I'm not a doctor.		8216	-	kanji Lesson_55
傍	Kanji	ｲ, 立, 方	Leader, Stand, Direction	radical, radical, radical	Nearby, Side	Nearby, Side		<reading>ぼう</reading>	かたわ わき おか はた そば			ぼう	かたわ, わき, おか, はた, そば								The <radical>leader</radical> is <radical>stand</radical>ing funny, facing a <radical>direction</radical> <kanji>nearby</kanji>. He can't go far because there's obviously something wrong with his feet. He's stuck nearby, very close to your side.	Picture the leader very close to your side. He's looking off into the distance, a distance he'll never get to because all he can do is stand there with his messed up feet.	You decide to bring the leader to a <kanji>nearby</kanji> <reading>bow</reading>ling (<ja>ぼう</ja>) alley. It's really close and you can stay right by his side as he throws bowling balls and gets his anger out.	Picture the leader bowling nearby. You keep him close by, you never know when he'll fall over and need your help.		8217	-	kanji Lesson_55
累	Kanji	田, 糸	Rice Paddy, Thread	radical, radical	Accumulate	Accumulate		<reading>るい</reading>				るい									You start growing <radical>thread</radical> in your <radical>rice paddy</radical> to <kanji>accumulate</kanji> more. You didn't want to have to buy any, so you're just trying to grow thread with your rice. That seems like a good way to accumulate more to you.	Just imagine how much thread you'll accumulate if you can just grow it along with your rice in the rice paddy! So much thread!	Sadly, this is a terrible way to <kanji>accumulate</kanji> anything thread related and you ended up <reading>rui</reading>ning (<ja>るい</ja>) your rice paddy too. I guess if you want to accumulate thread this isn't the way to do it.	Your attempts to accumulate more of something by cheating have brought ruin to everything else you were doing. Nice job, dummy.		8218	-	kanji Lesson_55
癒	Kanji	疒, <i class=radical-death-star></i>, 心	Sick, Death Star, Heart	radical, radical, radical	Healing, Cure	Healing, Cure		<reading>ゆ</reading>	い いや			ゆ	い, いや								The <radical>sick</radical> <radical>Death Star</radical> needs its <radical>heart</radical> <kanji>cure</kanji>d. If it doesn't get <kanji>healing</kanji> soon, it will die.	Maybe the Death Star wouldn't be sick if it wasn't so mean to you, yelling at you for living in a yurt, when it was a yurt on the inside the whole time. Wait! I know the cure!	You realized that the only way to <kanji>cure</kanji> the Death Star is to turn it back into a <reading>yu</reading>rt (<ja>ゆ</ja>). Then it won't be able to do any more harm, and its outside will reflect its pleasant self on the inside!	Hmm, but does this type of yurt healing technology exist?! You'll have to find out to cure it!!		8219	-	kanji Lesson_55
郭	Kanji	享, 阝	Sock, Building	radical, radical	Enclosure	Enclosure		<reading>かく</reading>	くるわ			かく	くるわ								Put a <radical>sock</radical> in a <radical>building</radical> and it turns into an <kanji>enclosure</kanji>.	Why? Because that sock is now enclosed in that building!	Now that you have an <kanji>enclosure</kanji>, let's go deeper. Put a <reading>cock</reading> (<ja>かく</ja>) in the sock and it becomes an enclosure inside an enclosure.	Picture this inception enclosure mess in your mind and you'll never forget this kanji, I promise.		8220	-	kanji Lesson_55
尿	Kanji	尸, 水	Flag, Water	radical, radical	Urine, Pee	Urine, Pee		<reading>にょう</reading>				にょう									When you go to the pool or lake to swim, you'll see a <radical>flag</radical> stuck somewhere in the <radical>water</radical>. That flag is there so you know it's okay to <kanji>pee</kanji> in that area of the pool. Everyone knows <kanji>urine</kanji> dilutes in water, and if everyone just pees in one place, it won't be gross. So go pee over by that flag when you have to go. Don't bother getting out of the water.	Imagine swimming over to the flag that's sticking out of the water and peeing there. Yeah, everyone knows what you're doing over there, but it's better than getting out and walking to the bathroom right? Just pee in the water. Just do it.	"Right as you start to <kanji>pee</kanji>, you hear the life guard start to yell, ""<reading>NYOOOOOO</reading>! (<ja>にょう</ja>)"" and he's pointing at you! You were just peeing by the pee flag! Why is he mad?"	Imagine your embarrassment when you find out that you aren't supposed to urinate in the water, not even by the pee flag, because a life guard yelled NYOOOOOO and pointed right at you while you did it.		8221	-	kanji Lesson_55
賓	Kanji	宀, 一, 少, 貝	Roof, Ground, Few, Shellfish	radical, radical, radical, radical	VIP, Guest	VIP, Guest		<reading>ひん</reading>				ひん									Between the <radical>roof</radical> and the <radical>ground</radical> there are <radical>few</radical> <radical>shellfish</radical>. This is because we invited some <kanji>VIP</kanji> <kanji>guest</kanji>s into our home and they ate all our shellfish.	The VIPs came into our home (the place between our roof and the ground) where they consumed all our shellfish. Only the best for guests, I guess.	These <kanji>VIP</kanji> <kanji>guest</kanji>s are part of a <reading>Hin</reading>du (<ja>ひん</ja>) envoy. 	We are treating these VIP guests extra special because they represent the whole Hindu religion. They get shellfish because of course we weren't going to serve them beef!		8222	-	kanji Lesson_55
虜	Kanji	虍, 男	Tiger, Man	radical, radical	Captive	Captive		<reading>りょ</reading> <reading>ろ</reading>	とりく とりこ			りょ, ろ	とりく, とりこ								When a <radical>man</radical> meets a <radical>tiger</radical> he makes the tiger his <kanji>captive</kanji>. Men are pretty crappy like that. They see tigers and they want to put them in cages, so the poor tiger becomes a captive of the man.	Picture the sad tiger captive and the man laughing as he pokes at it. Tigers shouldn't be captives but when men find them they always seem to do this anyway.	The <kanji>captive</kanji> tiger is even sadder because the man put him in a <reading>ro</reading>be (<ja>りょ</ja>) and is making him act like a human. Tigers look good in robes, but they don't really enjoy being forced into people clothing.	Picture the poor captive tiger being stuffed into a bathrobe and paraded around a cage for the man.		8223	-	kanji Lesson_55
憾	Kanji	忄, 感	Soul, Feeling	radical, radical	Remorse, Regret	Remorse, Regret		<reading>かん</reading>	うら			かん	うら								The only <radical>feeling</radical> a dead <radical>soul</radical> will have is <kanji>remorse</kanji>. Remorse for the people it left behind. <kanji>Regret</kanji>s for the things it did and didn't do.	If you died right now and left your soul behind, do you think you'd have regrets?	The soul with the most <kanji>regret</kanji>s is Genghis <reading>Khan</reading> (<ja>かん</ja>). Everyone knows to stay away from him in the spirit world because he's so sad. Not because of his own actions, but because of the state of his people now.	Picture Genghis Khan looking down at the state of his people, the Mongols, in the modern world. See the remorse in his soul's face. They should be leaders of the modern world. Not reduced to a people struggling in the background.		8224	-	kanji Lesson_55
弥	Kanji	弓, <i class=radical-gun></i>, 小	Bow, Gun, Small	radical, radical, radical	Increasing	Increasing		び み	<reading>や</reading>			や	び, み								Go from a <radical>bow</radical> to a <radical>small</radical> <radical>gun</radical> and you're <kanji>increasing</kanji> in fire power! Even though the gun is small, it's still a step up from a bow.	Imagine increasing your power with a new weapon. What would it be?	You keep trading in weapons to get <kanji>increasing</kanji>ly stronger gear, when you realize that at the top of the list is... a <reading>Ya</reading>nkee's (<ja>や</ja>) baseball bat? Huh. I would have gone for a tank or a bazooka. But I guess if this will increase your power level, you have to go for it.	Imagine walking down a line of weapons, each one increasing in power from the one before it. Bow, small gun, bigger gun, tank, Yankee's bat. Yup, that sounds right.		8225	-	kanji Lesson_55
粗	Kanji	米, 且	Rice, Top Hat	radical, radical	Coarse, Rough	Coarse, Rough		<reading>そ</reading>	あら			そ	あら								If you find some <radical>rice</radical> in a <radical>top hat</radical> it's going to be really <kanji>coarse</kanji> and <kanji>rough</kanji>. Probably because it's not the kind that's meant to be eaten.	Imagine trying to eat the rice you found in a top hat. It's so coarse it feels like it's scratching your teeth. There's probably some dirt in here too. This wasn't the best idea.	You take the <kanji>coarse</kanji> rice and try to wash it with <reading>so</reading>ap (<ja>そ</ja>).	If you were trying to make this coarse rice taste like soap, you did it. But if you were trying to make it less coarse, well... sorry, but that's not how anything works.		8226	-	kanji Lesson_55
循	Kanji	彳, 厂, <i class=radical-pope></i>	Loiter, Cliff, Pope	radical, radical, radical	Circulation, Sequential	Circulation, Sequential		<reading>じゅん</reading>				じゅん									If you want to <radical>loiter</radical> on a <radical>cliff</radical> with the <radical>pope</radical> you better be ready to move in perfect <kanji>circulation</kanji> with him. The pope is wearing really heavy robes and it's hot up here on this cliff, so you both need to walk in circles to keep cool.	Imagine this strange circulation of you and the pope up here on a cliff. It's not even like you two are up here for a reason, you're just loitering. But he doesn't want to be hot so he makes you circulate with him.	This <kanji>circulation</kanji> wouldn't have to even be happening if it wasn't <reading>June</reading> (<ja>じゅん</ja>). The cliffs are so hot in June, and in any other month the two of you would have just sat down and had a chat. But in June you have to do this weird circulation dance.	"""This circulation is all June's fault,"" you mutter, walking in a circle with the pope to stay cool."		8227	-	kanji Lesson_55
凝	Kanji	冫, 疑	Ice, Doubt	radical, radical	Congeal, Freeze, Absorbed In	Congeal, Freeze, Absorbed In		<reading>ぎょう</reading>	こ こご			ぎょう	こ, こご								If you try to turn something into <radical>ice</radical> while having <radical>doubt</radical>s, it will just <kanji>congeal</kanji> instead. It will <kanji>freeze</kanji>, but it will get kinda yucky too. Your doubts will affect the ice-making process, so try not to be so worried and unsure next time you want normal ice.	Imagine looking over water in an ice cube tray. You aren't sure if they'll turn out alright, and you doubt whether ice is even a thing. As you think this, the water congeals and freezes into gross shapes.	You always end up <kanji>congeal</kanji>ing your <reading>gyo</reading>za (<ja>ぎょう</ja>) this way. You want to <kanji>freeze</kanji> your leftover gyoza so you can enjoy it later, but you doubt it will turn out all right and it always congeals in a gross, half-frozen gyoza block. Yuck!	Picture frozen, congealed gyoza. Do you want to eat that? I didn't think so.		8228	-	kanji Lesson_55
脊	Kanji	二, 人, 月	Two, Person, Moon	radical, radical, radical	Stature, Height	Stature, Height		<reading>せき</reading>	せ せい			せき	せ, せい								If you put <radical>two</radical> <radical>two</radical> pound weights on a <radical>person</radical> on the <radical>moon</radical> they'll increase in <kanji>stature</kanji> when they come back down. Everything is lighter on the moon so the person won't even feel the weights. Then when they come back to earth they'll have grown a whole two inches taller!	Imagine how much height you'd gain if you spent time lifting weights on the moon!	Getting a taller <kanji>stature</kanji> will also make you seem super <reading>sexy</reading> (<ja>せき</ja>) on the moon and back home on earth. If you stay on the moon long enough, you'll be the tallest person in the galaxy and who wouldn't find that sexy?! Huh?	Imagine how sexy the height of a ten foot tall person would be after just coming back from weight training on the moon.		8229	-	kanji Lesson_55
昌	Kanji	日	Sun	radical	Prosperous, Prosperity	Prosperous, Prosperity		<reading>しょう</reading>	さかん			しょう	さかん								The <radical>sun</radical> is the reason why crops grow and people can get out of bed in the morning. But on planets with two <radical>sun</radical>s, they can get even more done and it makes them way more <kanji>prosperous</kanji> than us. They work all day, then as the first sun sets, the second one rises and they get a new burst of energy. The whole planet lives in a state of <kanji>prosperity</kanji> because of the two suns.	Picture the prosperous planet that has two suns. They get so much work done that no one is ever hungry or tired or without.	The person on this planet with two suns who benefits from the prosperity the most is the <reading>Shou</reading>gun (<ja>しょう</ja>). Yes, this planet still has a shougun as their leader, but everything is going so well that they didn't see a need to change. The shogun will be in charge of this prosperous world forever. No one ever thinks of revolt when everyone has everything they could ever need.	Picture the Shougun looking over the prosperous world, the two suns at his back.		8230	-	kanji Lesson_55
旦	Kanji	旦	Dawn	radical	Dawn	Dawn		<reading>たん</reading> <reading>だん</reading>	あきら あき あさ あした ただし			たん, だん	あきら, あき, あさ, あした, ただし								The <radical>dawn</radical> radical and the <kanji>dawn</kanji> kanji are the same!	Know your radicals, yo!	<kanji>Dawn</kanji> is <reading>dawn</reading> (<ja>だん</ja>)! It's also a great time to get a <reading>tan</reading> (<ja>たん</ja>). The sun is bright at dawn, but not so much that it will send skin cancer rays into you.	Imagine getting a tan at dawn. Ahh. Relaxing and warm.		8231	-	kanji Lesson_55
愉	Kanji	忄, <i class=radical-death-star></i>	Soul, Death Star	radical, radical	Pleasant	Pleasant		<reading>ゆ</reading>	たの			ゆ	たの								The <radical>soul</radical> of the <radical>Death Star</radical> is actually quite <kanji>pleasant</kanji>. And if you think about it, it's the people who control the Death Star that are evil and kill.	"Picture the Death Star in your mind. As you picture it, its pleasant, smiling soul floats up and out of it. ""Oh hello, dear,"" it says happily, ""Didn't see you there!"""	The <kanji>pleasant</kanji> soul within the Death Star actually looks like a <reading>yu</reading>rt (<ja>ゆ</ja>), not a big angry, metal ball.	Yurts are very pleasant structures. They're round and soft and moveable, just like the Death Star's soul.		8232	-	kanji Lesson_55
抹	Kanji	扌, 未	Fingers, Jet	radical, radical	Erase	Erase		<reading>まつ</reading>				まつ									Put your <radical>fingers</radical> in a <radical>jet</radical> if you want to <kanji>erase</kanji> them from existence. You aren't just chopping or burning them off. There's like, no trace of them at all. Your parents can't even remember if you were born with fingers or not. Jets are that powerful.	Imagine your fingers slowly getting closer and closer to the jet's engine. It feels like it's going to suck your whole body in. And you better watch out, because if it does you'll be erased from the planet. And probably from time itself.	You're almost done <kanji>eras</kanji>ing your fingers when the jet starts sucking all of you in. You would try to grab the closest thing to you, but your fingers don't exist anymore, so you hold onto the <reading>mats</reading> (<ja>まつ</ja>) at your feet with your toes. The mats are super strong (they're made for jets, after all) and you manage to save yourself!	Now you're so thankful to the mats. If they weren't there you might have erased your whole body! Thank you mats! I'll never walk on you without thanking you for your service again!		8233	-	kanji Lesson_55
栓	Kanji	木, <i class=radical-hat></i>, 王	Tree, Hat, King	radical, radical, radical	Cork, Plug	Cork, Plug		<reading>せん</reading>				せん									The <radical>king</radical> has a <radical>hat</radical> that's made from a <radical>tree</radical> but the more you look at it, the more it looks like it's just a big <kanji>cork</kanji>. It's a big, wooden <kanji>plug</kanji> that he's just placed on his head. It can hardly be called a hat.	Picture how silly the king looks with this cork on his head. He kind of looks like a fat, plugged up bottle of wine when he yells now.	It turned out this <kanji>cork</kanji> hat was given to him by a <reading>cen</reading>taur (<ja>せん</ja>). You look into it and it turned out it IS a really big cork that centaurs use on their big wine casks. But the king didn't understand, and thought it was a hat. The centaurs are probably still laughing.	Picture the centaurs drinking and giggling, putting the cork from their wine on their head to imitate the stupid king.		8234	-	kanji Lesson_55
之	Kanji	丶, <i class=radical-hills></i>	Drop, Hills	radical, radical	This	This		し	<reading>これ</reading> <reading>の</reading>			これ, の	し								How do you make a mnemonic for the word this? You don’t. But, we can try. You climb many <radical>hill</radical>s. On top of one of the hills is a little <radical>drop</radical> of water. You pick it up and say “<kanji>THIS</kanji>… THIS IS WHAT I WAS LOOKING FOR!”	"As you look at the drop of water, you note that you found the right thing. Written on it is the word “this."""	<kanji>This</kanji> particular drop of water hold the <reading>core</reading> (<ja>これ</ja>) of the universe. If you didn't find this very droplet, we all would have died and this universe would be gone.	The core of the universe is in this drop of water. Or is it in this mnemonic? Ooohhhhh you'll never knoooowwww!		8235	-	kanji Lesson_55
龍	Kanji	龍	Imperial	radical	Imperial, Dragon	Imperial, Dragon		<reading>りゅう</reading> <reading>りょう</reading> <reading>ろう</reading>	たつ			りゅう, りょう, ろう	たつ								The <radical>imperial</radical> radical and the <kanji>imperial</kanji> kanji are exactly the same! Wahoo!	Make sure you remember this radical means imperial and you'll remember the kanji meaning too!	Who is the coolest <kanji>imperial</kanji> you know? <reading>Ryu</reading> (<ja>りゅう</ja>) from Street Fighter. Wait what? You mean he FIGHTS imperials? Oh, okay. Looks like Ryu is the coolest imperial FIGHTER you know!	Picture Ryu kicking the butts of imperial  scum like Bison and Darth Vader. 		8236	-	kanji Lesson_55
遼	Kanji	⻌, 尞	Scooter, Charcoal	radical, radical	Distant	Distant		<reading>りょう</reading>				りょう									You got off your <radical>scooter</radical> to load some <radical>charcoal</radical> onto it, when it suddenly took off into the <kanji>distance</kanji>! That's some powerful charcoal.	Your scooter is charcoal powered, but it looks like you put too much in there and it drove off into the distance without you.	You chase the scooter into the <kanji>distance</kanji> when you see it heading for a lake. Oh good, it should be stopped by the water. But wait! In the distance you see your scooter drive onto a <reading>row</reading> (<ja>りょう</ja>) boat and... row itself through the water?! No!!	In the distance you can still make out the shape of your scooter, now on a row boat, fading away and completely out of reach.		8237	-	kanji Lesson_55
瑛	Kanji	王, 艹, 央	King, Flowers, Center	radical, radical, radical	Crystal	Crystal		<reading>えい</reading>				えい									The <radical>king</radical> of the <radical>flowers</radical> in the <radical>center</radical> (of England, if you remember) has a special <kanji>crystal</kanji>. The king crystal.	Picture the king holding this crystal aloft, giggling as the sun shines through it and sparkles.	The king thinks everyone wants his <kanji>crystal</kanji> so he hides it in the giant <reading>a</reading>corn (<ja>えい</ja>) in the center of the flowers in England. There's a tiny hole in the bottom of the acorn, and that's where this crystal stays hidden.	Imagine going to England, to the giant acorn in the center of the flowers, and searching for the king's crystal. If you find it, you can probably sell it for a fortune! Or just make a really sweet necklace.		8238	-	kanji Lesson_55
那	Kanji	刀, 二, 阝	Sword, Two, Building	radical, radical, radical	What	What		<reading>な</reading> <reading>だ</reading>	いかん なに なんぞ			な, だ	いかん, なに, なんぞ								You're holding a <radical>sword</radical> in front <radical>two</radical> <radical>building</radical>s. <kanji>What</kanji> will you do?  A. Stab the building on the left.  B. Stab the building on the right.  What do you choose?	What? Do you think I'm gonna help you make this decision? No way, you need to dig deep and think about what you want to do.	A. <kanji>What</kanji> is, stab the building on the left? You stab the building on the left with your sword and what comes out is... a plate of delicious <reading>na</reading>chos (<ja>な</ja>)!  B. <kanji>What</kanji> is, stab the building on the right? You stab the building on the right with your sword and what comes out is... a plate of delicious <reading>na</reading>chos (<ja>な</ja>)!	What?! You got nachos either way. You should be happy, don't ask me any other questions.		8239	-	kanji Lesson_55
之	Vocabulary	之	This	kanji	This	This					<reading>これ</reading>	これ		Pronoun	よかったら之も持って行きなさい。	Take this too, if you want.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38586-subject-8177.mp3][sound:18671-subject-8177.mp3]	8240	-	Lesson_55 Vocabulary
起伏	Vocabulary	起, 伏	Wake Up, Bow	kanji, kanji	Undulation, Ups And Downs, Highs And Lows	Undulation, Ups And Downs, Highs And Lows					<reading>きふく</reading>	きふく		Noun, する Verb	生理前はどうしても感情の起伏が激しくなってしまう。	Before my period I always get violent emotional ups and downs.					<kanji>Wake up</kanji>, now <kanji>lay</kanji> down, now wake up again, okay now lay again. What you're doing is called <vocabulary>undulation</vocabulary>. If your emotions do it it's called <vocabulary>ups and downs</vocabulary>. Everyone goes through stuff like this sometimes.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38629-subject-8178.mp3][sound:18703-subject-8178.mp3]	8241	-	Lesson_55 Vocabulary
伏せる	Vocabulary	伏	Bow	kanji	To Cover, To Hide, To Lay Upside Down, To Turn Over	To Cover, To Hide, To Lay Upside Down, To Turn Over					<reading>ふせる</reading>	ふせる		Transitive Verb, Ichidan Verb	どうして弟が犯罪者であることを伏せていたんだ。	Why would I cover up my younger brother being a criminal?					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>bow</kanji> or <kanji>lay</kanji>, so the verb version is what when you try <vocabulary>to cover</vocabulary> or <vocabulary>to hide</vocabulary> something. You're doing the action to something, you're not the one hiding.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Who's that you're trying <vocabulary>to cover</vocabulary> up? It's your <reading>foo</reading>l (<ja>ふ</ja>) brother. He keeps doing embarrassing things and trying to get you in trouble. So you're trying <vocabulary>to hide</vocabulary> him with your jacket. Well we see him, we know he's a fool, so you can stop now.		[sound:38705-subject-8179.mp3][sound:18800-subject-8179.mp3]	8242	-	Lesson_55 Vocabulary
