高	Radical				Tall	Tall															This radical is the same as the kanji. It means <radical>tall</radical>.					7914	-	Lesson_53 radical
緯	Kanji	糸, 韋	Thread, Korea	radical, radical	Latitude	Latitude		<reading>い</reading>	ぬき よこいと			い	ぬき, よこいと								The <radical>thread</radical> that goes through <radical>Korea</radical> is the <kanji>latitude</kanji> line splitting up North and South Korea.	Why thread? Back in the old days globes were sewn together with cloth and thread, so there was a literal thread dividing the Koreas!  Or you can just picture an actual, super long piece of thread going around the entire globe. That works too.	The only way you can see this <kanji>latitude</kanji> line is to ride an <reading>ea</reading>gle (<ja>い</ja>) over it. The line isn't visible from a car, you're too close, and a plane is too high. You have to see it from an eagle's point of view.	Imagine being an eagle yourself, flying around the entire globe, following the latitude line that splits Korea down the middle.		7925	-	kanji Lesson_53
艇	Kanji	舟, 廴, 王	Boat, Yoga, King	radical, radical, radical	Rowboat	Rowboat		<reading>てい</reading>				てい									A <radical>boat</radical> owned by a <radical>Yoga</radical> <radical>King</radical> needs to be able to let him keep doing his exercises while he's on it. That's why his boat is a <kanji>rowboat</kanji>, so he can work on his yoga arms as he gets around.	Picture the Yoga King rowing a rowboat. Maybe he's using his legs. Maybe he's using his butt? You don't know. Yoga people are super flexible, he could be using anything to move this rowboat.	As he rows the <kanji>rowboat</kanji> with his butt, you see the Yoga King eating something with his toes. They're <reading>ta</reading>ter tots (<ja>てい</ja>). Tater tots are the perfect snack for a rowboat. They're small, delicious, and they float if you drop them in the water.	Go rent a rowboat and try eating tater tots in it. For fun, throw a bunch of them in the water and watch them float. Maybe you'll catch a fish!		7926	-	kanji Lesson_53
披	Kanji	扌, 皮	Fingers, Skin	radical, radical	Expose	Expose		<reading>ひ</reading>				ひ									Press your <radical>fingers</radical> in someone's <radical>skin</radical> to <kanji>expose</kanji> what's underneath. This is pretty gross, but sometimes it's more important that you expose the cause of the problem, than avoiding something uncomfortable.	Close your eyes. Picture someone's arm. Now touch their skin with your fingers and peel it back to expose the muscles and bones underneath.	You <kanji>expose</kanji> a small hole under their skin and <reading>he</reading>at (<ja>ひ</ja>) comes pouring out. Aha! You knew there was something wrong under here. Apparently there's something under this person's skin that's exuding way too much heat.	Imagine the heat steaming out, like it's coming out of a teapot, not out of somebody's arm skin.		7927	-	kanji Lesson_53
錦	Kanji	金, 白, 巾	Gold, White, Towel	radical, radical, radical	Brocade	Brocade		きん	<reading>にしき</reading>			にしき	きん								You weave <radical>gold</radical> and <radical>white</radical> patterns into this <radical>towel</radical>, turning it into <kanji>brocade</kanji>. It's beautiful, elegant, and worth way more than when it was just a plain towel.	Imagine weaving this beautiful brocade fabric out of one of your old towels. Try to actually picture the gold and white patterns you want on there. If you're a crafter, actually do it!	You want to keep your <kanji>brocade</kanji> fabrics safe, so you lock them away and seal them in with a <reading>niche key</reading> (<ja>にしき</ja>). It's niche because brocade is a very niche kind of thing.	Imagine using your niche key to open this hidden brocade storage room. The key is gold and white and looks like brocade too!		7928	-	kanji Lesson_53
准	Kanji	冫, 隹	Ice, Turkey	radical, radical	Semi	Semi		<reading>じゅん</reading>				じゅん									Put a <radical>turkey</radical> on <radical>ice</radical> and it will only get <kanji>semi</kanji> frozen. You add more ice, and it stays the same. Only some of it will freeze. What the heck!	Imagine covering a turkey in ice and every time you check it, it's only semi frozen. It doesn't matter what you do, it just refuses to freeze all the way through.	Finally you realize it will only <kanji>semi</kanji> freeze because it's <reading>June</reading> (<ja>じゅん</ja>)! It's too hot out for your turkey to freeze all the way. The ice keeps melting off the top and semi thawing it!	The lesson is to never try to freeze something in June. If you do it will only semi freeze.		7929	-	kanji Lesson_53
繊	Kanji	糸, 十, <i class=radical-spikes></i>, 戈	Thread, Cross, Spikes, Drunkard	radical, radical, radical, radical	Fiber, Slender	Fiber, Slender		<reading>せん</reading>				せん									A <radical>drunkard</radical> <radical>cross</radical>es <radical>thread</radical> across special <radical>spikes</radical> to separate the <kanji>fiber</kanji>s. The best way to separate the fibers of thread is to get a drunkard to do it. If you're too precise it will just snap. You gotta be loose with it! Just flop them onto the spikes and the fibers will come apart by themselves!	Imagine a drunkard crossing threads onto spikes and pulling the tiny fibers free. You don't think you could do that. Maybe if you got drunk too...	You stare at the <kanji>fiber</kanji>s easily coming apart when you realize that this drunkard seems to have a few extra legs... and hair and a tail? This isn't just a drunk guy, it's a <reading>cen</reading>taur (<ja>せん</ja>). Maybe separating fibers is really a centaur trick, and that's why normal people can't do it...	Watch the centaur cross the fibers and separate them with his spikes. How strange.		7930	-	kanji Lesson_53
諭	Kanji	言, <i class=radical-death-star></i>	Say, Death Star	radical, radical	Admonish	Admonish		<reading>ゆ</reading>	さと			ゆ	さと								If you try to <radical>say</radical> something to the <radical>Death Star</radical>, it would only <kanji>admonish</kanji> you. It was made to destroy planets, after all, so I don't know why you'd expect it to have anything nice to say. It just admonishes you about everything you've ever done wrong until you can't stop crying.	Imagine being admonished by the Death Star. It's hovering above you, giant and round, just yelling at you about everything you've ever messed up. It's really awful being yelled at. But the Death Star doing it is particularly scary and embarrassing.	"Right now you're being <kanji>admonish</kanji>ed about living in a <reading>yu</reading>rt (<ja>ゆ</ja>). The Death Star bellows, ""What, am I too big and safe for you? I'm easy to move too, you know. You're a disgrace! You should be ashamed!"""	Imagine sitting in your yurt, the home you love, but you can still hear the admonishments from the Death Star in your ears. You feel... bad.		7931	-	kanji Lesson_53
惨	Kanji	忄, ム, 大, 彡	Soul, Private, Big, Hair	radical, radical, radical, radical	Disaster	Disaster		<reading>さん</reading> <reading>ざん</reading>	みじ いた むご			さん, ざん	みじ, いた, むご								If you get a <radical>big</radical> <radical>hair</radical> stuck in your <radical>private</radical> <radical>soul</radical> it will be a <kanji>disaster</kanji>! Have you ever gotten a hair in your eye or your mouth that you just couldn't get out? You cough, your eyes water, it's awful! You can't focus on anything until it's gone. Now imagine if a big 'ol hair got stuck in your own private soul!!! Disaster!!!	This disaster is ruining your life. You can't eat, sleep, all you can do is panic trying to get the hair out.	This <kanji>disaster</kanji> is so huge that even <reading>San</reading>ta-san (<ja>さん</ja>) left his vacation in <reading>Zan</reading>zibar (<ja>ざん</ja>) to come tell you you're on the naughty list for being such a disaster person. WHAT?! Even you Santa-san?	Santa-san has forsaken you. Your life is a wreck. This is a total disaster just because of one big hair.		7932	-	kanji Lesson_53
虐	Kanji	虍, ヨ	Tiger, Wolverine	radical, radical	Oppress	Oppress		<reading>ぎゃく</reading>	しいた			ぎゃく	しいた								<radical>Tiger</radical>s and <radical>wolverine</radical>s have one big thing in common and it's that the government likes to <kanji>oppress</kanji> them. It doesn't matter if you're the animal or a mutant X-Men hybrid. The government will go out of its way to oppress you if you are one. 	Imagine being a tiger or a wolverine or a tiger-wolverine and being oppressed by the government just because you're different. Imagine being stuck in a cage. Not being allowed to vote. It's awful!	Tiger and wolverine people are so <kanji>oppress</kanji>ed that the only thing they're allowed to amuse themselves with is <reading>Gak</reading> (<ja>ぎゃく</ja>). You know, that weird goo they made us play with when we were kids? Well that's not so fun when it's all you have.	Imagine being a tiger/wolverine girl and being so oppressed that you can only sit in a cage, playing with goopy Gak all day. This blows...		7933	-	kanji Lesson_53
据	Kanji	扌, 尸, 古	Fingers, Flag, Old	radical, radical, radical	Install	Install		きょ	<reading>す</reading>			す	きょ								You use your <radical>fingers</radical> to take down the <radical>old</radical> <radical>flag</radical> and <kanji>install</kanji> a new one. Flags get old, just like computers and furniture and people. So when one gets too old, you have to get on up there and install a new one in its place.	Imagine reaching out and grabbing onto the old flag with your fingers. Feel the dirty grime and little holes it's gotten. Now install something new!	You've decided to <kanji>install</kanji> a <reading>su</reading>it (<ja>す</ja>) where the old flag used to be. I mean, a suit is probably more durable than a flag, am I right? This way you won't have to install flags as often.	Picture a newly installed suit flying in the air on a pole.		7934	-	kanji Lesson_53
徐	Kanji	彳, 余	Loiter, Surplus	radical, radical	Gently, Gentle	Gently, Gentle		<reading>じょ</reading>	おもむ			じょ	おもむ								If you <radical>loiter</radical> around a <radical>surplus</radical> of anything, you need to be <kanji>gentle</kanji> and touch everything <kanji>gently</kanji>. 	Unfortunately it's not specific as to what kind of surplus you're loitering around, so you'll need to imagine a surplus of something memorable to you. Then, just imagine loitering around there, being really gentle with everything.	You have to be <kanji>gentle</kanji> and handle these things <kanji>gently</kanji> because they belong to <reading>Jo</reading>-Anne (<ja>じょ</ja>). You're loitering around her surplus of (whatever you decided to imagine).	Imagine Jo-Anne coming back to her surplus, then asking you if you were gentle with the goods. You were, you treated everything very gently.		7935	-	kanji Lesson_53
搭	Kanji	扌, 艹, 合	Fingers, Flowers, Suit	radical, radical, radical	Board, Embark	Board, Embark		<reading>とう</reading>				とう									In your <radical>fingers</radical> are <radical>flowers</radical> which really <radical>suit</radical> you. But you throw them to the people waving to you from below, as you <kanji>board</kanji> your ship. The flowers fall, unneeded. You're <kanji>embark</kanji>ing on a new life, a new journey. There will be more flowers where you're going.	Picture yourself boarding the ship and letting the flowers slip from your fingers, into the crowd of people waving goodbye.	You <kanji>board</kanji> a ship to <ja><reading>とう</reading>きょう</ja>, bound for your new life, of course!	Where else would you go at this point? I mean, come on. You've made it 53 levels since you embarked on your kanji journey with us. We know you by now. You want to be in <ja>とうきょう</ja>.		7936	-	kanji Lesson_53
蒙	Kanji	艹, 冖, 一, 豕	Flowers, Forehead, Ground, Pig	radical, radical, radical, radical	Darkness	Darkness		<reading>もう</reading> <reading>ぼう</reading>	おお くら こうむ			もう, ぼう	おお, くら, こうむ								<radical>Flowers</radical> are growing out of the <radical>ground</radical> and over your pet <radical>pig</radical>'s <radical>forehead</radical> and it's causing the poor thing to live in total <kanji>darkness</kanji>. The flowers are hanging down over its eyes and won't let any light in at all. And some of the flowers seem to be growing directly out of the pig's forehead too. The pig has just been wandering and bumping into things all day because of it.	Imagine being a pig with flowers hanging down off your forehead and into your eyes so that darkness was all you knew. It's very sad, actually.	To end the <kanji>darkness</kanji> you <reading>mow</reading> (<ja>もう</ja>) the flowers. You have to drive your lawnmower over its head too, because they're growing out of its forehead too. They'll grow back soon though and cover your pig's world in darkness once again and you'll have to do it all over again.	Imagine mowing the darkness away. Be careful! If you mow the pig's eyes, the darkness will last forever!		7937	-	kanji Lesson_53
鯉	Kanji	魚, 里	Fish, Village	radical, radical	Carp, Koi	Carp, Koi		り	<reading>こい</reading>			こい	り								If you're in Japan (which is the end goal here, let's be honest) then the <radical>fish</radical> in your <radical>village</radical> are <kanji>carp</kanji>. You may know them as <kanji>koi</kanji>, too.	Picture your village in Japan. There's a big, still pond full of bright and beautiful giant carp. You hear the village kids giggle as they feed them and their big round mouths pop out of the water.	A <kanji>carp</kanji> is called a <reading>koi</reading> (<ja>こい</ja>) in Japanese. We've used that word before so I hope you know it by now. A koi is a koi, you know?	Carp are koi and koi are carp. Blub blub.		7938	-	kanji Lesson_53
戴	Kanji	十, 戈, 田, 共	Cross, Drunkard, Rice Paddy, Together	radical, radical, radical, radical	Receive	Receive		<reading>たい</reading>	いただ			たい	いただ								A <radical>cross</radical> carrying <radical>drunkard</radical> wants you to go to a <radical>rice paddy</radical> <radical>together</radical> so you can <kanji>receive</kanji> something from them.	You really don't want to receive whatever it is this drunkard wants to give you, and it's even sketchier that they want you to go to a rice paddy together to do it.	Against your better judgement, you decided to go and <kanji>receive</kanji> the thing. You close your eyes, hold out your hands, and feel a silky, light <reading>tie</reading> (<ja>たい</ja>) being placed in them.	The tie looks harmless enough, but you still receive it skeptically. The drunkard is just holding up his cross and smiling at you. Hmm.		7939	-	kanji Lesson_53
緋	Kanji	糸, 非	Thread, Criminal	radical, radical	Scarlet	Scarlet		<reading>ひ</reading>	あか あけ			ひ	あか, あけ								The <radical>thread</radical>s a <radical>criminal</radical> wears will always be <kanji>scarlet</kanji>. Scarlet is the color of freshly spilt blood, which is why bad guys wear it so much.	Picture a person wearing all scarlet all the time. Don't they give you a criminal-y vibe?	This <kanji>scarlet</kanji> color holds a lot of <reading>he</reading>at (<ja>ひ</ja>). Scarlet is the color of fire, and it has the heat of fire too.	Picture a criminal, covered in this scarlet thread, heat radiating off of him.		7940	-	kanji Lesson_53
曙	Kanji	日, 罒, 者	Sun, Net, Someone	radical, radical, radical	Dawn	Dawn		しょ	<reading>あけぼの</reading>			あけぼの	しょ								The <radical>sun</radical> is rising and there is a <radical>net</radical> covering <radical>someone</radical>, who's being forced to watch as <kanji>dawn</kanji> appears. They've never seen dawn before, and they didn't want to, but you're making them.	Picture someone tied down in a net as dawn breaks.	The someone who saw <kanji>dawn</kanji> for the first time goes on to become sumo wrestling champ <reading>Akebono</reading> Taro (<ja>あけぼの</ja>). He always gazes at the sunrise at dawn before he wrestles and it fills him with strength.	Look at Akebono looking at you as you look at dawn breaking.		7941	-	kanji Lesson_53
胡	Kanji	古, 月	Old, Moon	radical, radical	Barbarian	Barbarian		<reading>こ</reading> <reading>う</reading> <reading>ご</reading>	なんぞ	きゅう		こ, う, ご	なんぞ, きゅう								The <radical>old</radical> <radical>moon</radical> (the moon we had before the current moon) was actually just a huge <kanji>barbarian</kanji> floating in the sky.	Just imagine a huge barbarian (whatever that means to you) floating in the sky, looking down. Some ancient people look up and wave at the old moon barbarian.	At least, this is the kind of story you told your <ja><reading>子</reading></ja> (<ja>こ</ja>) when they asked you where the moon came from.	"""You see, my child, the old moon was not like the current moon. It was a giant barbarian in the sky, who would eat children that asked too many questions."""		7942	-	kanji Lesson_53
瓜	Kanji	瓜	Melon	radical	Melon	Melon		<reading>か</reading> <reading>け</reading>	うり			か, け	うり								The <radical>melon</radical> radical and the <kanji>melon</kanji> kanji are exactly the same! Wahoo!	Make sure you remember this radical means melon and you'll remember the kanji meaning too!	What's the best use for a <kanji>melon</kanji>? Not eating it, but running over it in your <reading>ca</reading>r (<ja>か</ja>)! Melons make a nice big splat sound when you drive over them, and that's what you plan to do to every melon you see.	Imagine hitting the gas pedal in your car as you head for a big melon. Watch it burst into a million pieces as your car makes contact, hurling melon bits all over your windshield. It's a melon firework!		7943	-	kanji Lesson_53
帥	Kanji	丶, <i class=radical-bear></i>, 巾	Drop, Bear, Towel	radical, radical, radical	Commander	Commander		<reading>すい</reading>				すい									There's a <radical>drop</radical> of <radical>bear</radical> on this <radical>towel</radical>. A true <kanji>commander</kanji> can notice little things like this.	Imagine a commander carefully looking over everything. They not only notice a drop of something on a towel, but they're able to identify that the drop is a small piece of liquid bear.	You watch the <kanji>commander</kanji> in all his glory... going back and forth on a <reading>swi</reading>ng (<ja>すい</ja>).	"""Weeee!"" says the commander."		7944	-	kanji Lesson_53
啓	Kanji	戸, 夂, 口	Door, Winter, Mouth	radical, radical, radical	Enlighten	Enlighten		<reading>けい</reading>	さと ひら			けい	さと, ひら								If you can find the <radical>door</radical> in <radical>winter</radical> shaped like a <radical>mouth</radical> it will <kanji>enlighten</kanji> you.	Imagine searching for this special door in the cold wind and snow of winter. The search for enlightenment always has something to do with suffering and searching on your own like this.	"The door <kanji>enlight</kanji>ened you by opening up and revealing the <reading>ca</reading>ke (<ja>けい</ja>) in its door-mouth. ""Cake is the key to enlightenment, my child. Now eat it from my mouth."""	All you need to do to attain enlightenment is to eat this cake... out of this mouth. Eh. Maybe enlightenment isn't worth it.		7945	-	kanji Lesson_53
葵	Kanji	艹, 癶, 天	Flowers, Tent, Heaven	radical, radical, radical	Hollyhock	Hollyhock		き	<reading>あおい</reading>			あおい	き								<radical>Flowers</radical> that are thought to be little <radical>tent</radical>s sent from <radical>heaven</radical> are <kanji>hollyhock</kanji>s. They're shaped almost like little teepees and would make the perfect tent for a faerie or a little yokai! 	Picture a tiny yokai using a hollyhock as a tent. Aww cute!	<kanji>Hollyhock</kanji>s are mostly <ja><reading>あおい</reading></ja> (blue) because they copy the color of the heavens, where they came from.	Imagine yourself in a field of hollyhocks and the <ja>あおい</ja> of them match the <ja>あおい</ja> of the heavens! It's like you're standing on a giant flower filled mirror of the sky.		7946	-	kanji Lesson_53
駿	Kanji	馬, 夋	Horse, Spider	radical, radical	Speed	Speed		<reading>しゅん</reading> <reading>すん</reading>	すぐ			しゅん, すん	すぐ								When a <radical>horse</radical> sees a <radical>spider</radical> it will start running at a <kanji>speed</kanji> no one ever thought a horse could go! Horses are super afraid of spiders, you see, so if they see one, they'll bolt and reach top speed! That's actually the only way to get a horse to run that fast. 	Imagine the eyes of a horse seeing a spider and then running at top speed to get the heck away from it.	Once people realize that they can increase the <kanji>speed</kanji> of their horses, <reading>soon</reading> (<ja>しゅん</ja>) everyone will be taking spiders with them to scare their horses into running faster. I say soon because it hasn't quite caught on yet. But if you help to spread the word it can happen even sooner.	Soon the world will be filled with horses running at full speed all thanks to the spider increase of the 2000s! Soon we will be in the future of top speeds!		7947	-	kanji Lesson_53
諒	Kanji	言, 京	Say, Capital	radical, radical	Comprehend, Reality	Comprehend, Reality		<reading>りょう</reading>	あきら まことに			りょう	あきら, まことに								If you <radical>say</radical> something the same way they say it in the <radical>capital</radical>, everyone in the whole country will be able to <kanji>comprehend</kanji> what you're trying to say. If you try to speak in your hometown's dialect no one will. But everyone can comprehend what you want if you use the capital's dialect to say it.	Imagine the confused faces of the people in the countryside as you try to talk to them. Decide to say it the way it's said in the capital and see their faces light up as they comprehend what you're trying to say.	Now that the townspeople finally <kanji>comprehend</kanji> what you were trying to say, they sell you the <reading>row</reading> (<ja>りょう</ja>) boat you were trying to buy. You were using the wrong word, but <ja>りょう</ja> is what they needed to hear to understand you, and now you can row your way back home.	Picture yourself rowing away in your new row boat as the townspeople wave goodbye. They were much nicer once they comprehended what you were asking for. Maybe you'll row your way back here someday.		7948	-	kanji Lesson_53
莉	Kanji	艹, 禾, 刂	Flowers, Grain, Knife	radical, radical, radical	Jasmine	Jasmine		<reading>り</reading> <reading>れい</reading> <reading>らい</reading>				り, れい, らい									You cut the <radical>flowers</radical> off the <radical>grain</radical> with your <radical>knife</radical>. The flowers that fall off are <kanji>jasmine</kanji> flowers.	It's weird that jasmine flowers are growing out of your grain, but that's why you're cutting them off.	The <kanji>jasmine</kanji> is growing out of everything, not just grain! It's also growing out of the <reading>ree</reading>ds (<ja>り</ja>)!	You have a farm that grows grain and reeds. Jasmine flowers are growing out of both of those things, ruining your crops! Perhaps you should become a jasmine tea farmer instead...		7949	-	kanji Lesson_53
皮膚科	Vocabulary	皮, 膚, 科	Skin, Skin, Course	kanji, kanji, kanji	Dermatology	Dermatology					<reading>ひふか</reading>	ひふか		Noun	私は皮膚科に通院しています。	I’m going to a dermatologist.					"Remember how you learned that <ja>皮膚</ja> is ""skin?"" Well the <kanji>science</kanji> of skin is <vocabulary>dermatology</vocabulary>!"		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38145-subject-7958.mp3][sound:18259-subject-7958.mp3]	7950	-	Lesson_53 Vocabulary
皮膚病	Vocabulary	皮, 膚, 病	Skin, Skin, Sick	kanji, kanji, kanji	Skin Disease	Skin Disease					<reading>ひふびょう</reading>	ひふびょう		Noun	息子は皮膚病を患っています。	My son suffers from a skin disease.					"Remember how you learned that <ja>皮膚</ja> is ""skin?"" Well when your skin is <kanji>sick</kanji>, you have a <vocabulary>skin disease</vocabulary>. You should probably go to a dermatologist right away."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38192-subject-7959.mp3][sound:18294-subject-7959.mp3]	7951	-	Lesson_53 Vocabulary
襟元	Vocabulary	襟, 元	Collar, Origin	kanji, kanji	Collar, Front Of The Neck, Nape Of The Neck	Collar, Front Of The Neck, Nape Of The Neck					<reading>えりもと</reading>	えりもと		Noun	襟元にファンデーションがついていますよ。	There’s foundation on your collar.					The <kanji>origin</kanji> of your <kanji>collar</kanji> is your <vocabulary>collar</vocabulary>! And the <vocabulary>nape of the neck</vocabulary> because that's where collars go.		The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.		[sound:38222-subject-7960.mp3][sound:18310-subject-7960.mp3]	7952	-	Lesson_53 Vocabulary
