下	Radical				Below	Below															This radical is the same as the kanji. It means <radical>below</radical>.					8679	-	Lesson_59 radical
岬	Kanji	山, 甲	Mountain, Turtle Shell	radical, radical	Cape	Cape		こう	<reading>みさき</reading>			みさき	こう								You see a <radical>mountain</radical> in the shape of a <radical>turtle shell</radical> sticking out into the ocean. It's a <kanji>cape</kanji>! No, not the kind you wear, the geographical kind. When you're on land, most capes look like turtle shell mountains sticking out into the sea. Do you know any capes like that near where you live?	Picture the turtle shell shaped cape. Feel the salty wind in your hair!	You decide to walk along this <kanji>cape</kanji> because it looks like the perfect place to get rid of your old <reading>me</reading>at <reading>sack</reading> (<ja>みさき</ja>). It's starting to smell, but the ocean breeze from the cape pulls the meat sack out of your hands and off into the sky (then probably into the sea too).	The next time you go to the cape, remember to bring your old, used meat sack. You can toss it right into the ocean and it won't bother you ever again! Just make sure no one sees you.		8692	-	kanji Lesson_59
紡	Kanji	糸, 方	Thread, Direction	radical, radical	Spinning, Spin	Spinning, Spin		<reading>ぼう</reading>	つむ			ぼう	つむ								Move <radical>thread</radical> in the right <radical>direction</radical> and you'll end up <kanji>spinning</kanji> it into yarn. Then you can spin that yarn into a sweater or a scarf with your favorite half tofu half fugu mascot on it!	Imagine spinning thread into whatever your imagination wants.	While you're <kanji>spinning</kanji> you realize that you've always wanted to make your own <reading>bow</reading>ling (<ja>ぼう</ja>) ball. And bowling ball cover. And bowling ball shoes.	Picture all of these thread-made bowling items. You're a really big bowling fan, huh?		8693	-	kanji Lesson_59
礁	Kanji	石, 隹, 灬	Stone, Turkey, Boil	radical, radical, radical	Reef	Reef		<reading>しょう</reading>				しょう									The <radical>stone</radical> that looks like a <radical>turkey</radical> <radical>boil</radical>ing underwater is just a <kanji>reef</kanji>.	It may seem like there are a bunch of turkeys under there, but it's just the shape the reef takes. Though I guess if you're looking from above the water it really does look like a bunch of turkeys freaking out.	The <kanji>reef</kanji> is the <reading>Shou</reading>gun's (<ja>しょう</ja>) favorite place to be nowadays. He sits next to the water, and stares down into it for hours.	You don't know if the Shougun likes the reef because he likes the beauty of the ocean, or if he's fantasizing about turkeys boiling. He's a... complex man.		8694	-	kanji Lesson_59
屯	Kanji	屯	Barracks	radical	Barracks	Barracks		<reading>とん</reading>				とん									The <radical>barracks</radical> radical and the <kanji>barracks</kanji> kanji are the same!	Know your radicals, yo!	<kanji>Barracks</kanji> are pretty big, so they weigh a <reading>ton</reading> (<ja>とん</ja>). And they probably take tons of materials to build.	Imagine trying to lift some barracks. They weigh a ton! How are you supposed to do this? Why would you even try to lift something that obviously weighs a couple tons?!		8695	-	kanji Lesson_59
姻	Kanji	女, 口, 大	Woman, Mouth, Big	radical, radical, radical	Marry	Marry		<reading>いん</reading>				いん									You meet a <radical>woman</radical> whose <radical>mouth</radical> is <radical>big</radical> and you instantly know this is the person you want to <kanji>marry</kanji>.	When you think about the person you want to marry, picture their mouth wide in a big, beautiful smile, a wide-open laugh. That's the lady for you, alright!	You <kanji>marry</kanji> this woman right away and you both go straight to an <reading>inn</reading> (<ja>いん</ja>) together!	When you get to the inn all you do is make her laugh and smile so you can bask in her bright, big, mouth smiles.		8696	-	kanji Lesson_59
擬	Kanji	扌, 疑	Fingers, Doubt	radical, radical	Imitate	Imitate		<reading>ぎ</reading>	まが もど			ぎ	まが, もど								You try to use your <radical>fingers</radical> to cast <radical>doubt</radical> on people by using them to <kanji>imitate</kanji> each other. Right now you're using your fingers as finger puppets, imitating one of your friends to the others.	"Picture your angry friend standing up next to your fingers, shouting, ""I'm the real me! That's just an imitation!"" The rest of your friends look nervously at each other. They doubt this person is real now."	Everyone thinks the friend you were trying to <kanji>imitate</kanji> is the imitation now and they have them in a <reading>gui</reading>llotine (<ja>ぎ</ja>). You even doubt if they're an imitation or if your fingers are the imitation.	Okay, so that's a lie, Your fingers are definitely imitating them, but you don't want to end up in the guillotine so you keep your mouth shut.		8697	-	kanji Lesson_59
睦	Kanji	目, 坴	Eye, Womb	radical, radical	Friendly	Friendly		<reading>ぼく</reading> <reading>もく</reading>	むつ			ぼく, もく	むつ								If you see someone <radical>eye</radical>ing your <radical>womb</radical> you're probably going to be weirded out by how <kanji>friendly</kanji> they're acting. You only let people who are really, really close to you look at your womb. So if this guy is acting that friendly he should have introduced himself first.	Imagine having someone you aren't friendly with trying to have a look at your womb. No thank you.	"This <kanji>friendly</kanji> guy comes up to you and start to introduce himself, ""<ja><reading>ぼく</reading></ja>-"" but you stop him. He's been getting way too friendly with your womb and you don't want to hear who he is. He can <ja>ぼく</ja> at someone else, you're out."	Imagine only letting this guy start to introduce himself with <ja>ぼく</ja> before walking the heck outta there. Just because he was acting friendly doesn't mean he was actually your friend.		8698	-	kanji Lesson_59
閑	Kanji	門, 木	Gate, Tree	radical, radical	Leisure	Leisure		<reading>かん</reading>				かん									You see a <radical>gate</radical> with a <radical>tree</radical> growing through it and it reminds you that you need more <kanji>leisure</kanji> time. You walk up to the gate tree and curl up under its branches. No one will bother you because the tree is blocking the gate from being used.	Imagine spending your leisure time curled up under a tree that's growing through a gate. It's so cozy and secluded!	"As you <kanji>leisure</kanji>ly nap, you hear a gruff voice, ""Ah, you're done too, huh?"" It's Genghis <reading>Khan</reading> (<ja>かん</ja>)! He's spending his leisure time relaxing under this abandoned gate just like you."	"But wait. Isn't Genghis Khan dead now? He winks at you, ""Leisure time is for the dead."" He smiles, and fades away, disappearing into the tree."		8699	-	kanji Lesson_59
曹	Kanji	一, 曲, 日	Ground, Music, Sun	radical, radical, radical	Official	Official		<reading>そう</reading> <reading>ぞう</reading>	つかさ ともがら へや			そう, ぞう	つかさ, ともがら, へや								When under<radical>ground</radical> <radical>music</radical> makes it out into the light of the <radical>sun</radical> (the public), it finally becomes <kanji>official</kanji>. Music isn't really real unless people hear it outside of those secret underground concerts.	Think of all that music you listened to underground but not in the light of the sun. None of that was official music. None of it!	Once the music is <kanji>official</kanji>, you'll feel it in your <reading>sou</reading>l (<ja>そう</ja>). When you listen to it outside, under the bright sun, your soul gets to finally hear it too.	The official music penetrates into your soul, instead of just your ears, and it's affecting everyone else's souls too! Oh no... wait that's too many people. This was your song! No, it's too popular now, stop your souls from liking it! Ahhh!		8700	-	kanji Lesson_59
詠	Kanji	言, 永	Say, Eternity	radical, radical	Compose, Recite	Compose, Recite		<reading>えい</reading>	よ うた			えい	よ, うた								If you want to <radical>say</radical> how <radical>eternity</radical> sounds you have to <kanji>compose</kanji> a poem. Or an essay. Or a song. <kanji>Recite</kanji> those deep thoughts about eternity and impress everyone who hears it.	Try to compose a poem about eternity right now. Just jot it down somewhere.	You decide to <kanji>compose</kanji> a poem about an <reading>a</reading>corn (<ja>えい</ja>). The tiny acorn is the perfect vessel for you to say how eternity feels to you.	Let me recite the acorn poem to you now:  Acorns start small Grow up big and tall Spread their baby acorns for all Live on for all eternity		8701	-	kanji Lesson_59
卑	Kanji	丶, 田, 十	Drop, Rice Paddy, Cross	radical, radical, radical	Lowly, Base	Lowly, Base		<reading>ひ</reading>	いや			ひ	いや								You <radical>drop</radical> to the ground in a <radical>rice paddy</radical>, and then <radical>drop</radical> down in front of the <radical>cross</radical> you keep on you because you're trying to make yourself as <kanji>lowly</kanji> as you can in front of God. He said to lower yourself and this is the only way you can interpret that.	Imagine dropping down in a rice paddy, then again in front of your cross. Be as lowly as you can make yourself.	The only problem about being <kanji>lowly</kanji> is the <reading>he</reading>at (<ja>ひ</ja>). Everyone always told you that heat rises, but not here. The rice paddy is incredibly hot... unless oh no. Is that the heat of hell?	You tried to make yourself lowly in front of God but this heat is probably a sign that you didn't do it well enough.		8702	-	kanji Lesson_59
侮	Kanji	ｲ, 毎	Leader, Every	radical, radical	Despise	Despise		<reading>ぶ</reading>	あなず あなど			ぶ	あなず, あなど								<radical>Every</radical> <radical>leader</radical> will come to <kanji>despise</kanji> their followers. In the beginning everything is fine and dandy, but eventually the leader's followers will ask for more and more things, eventually ridiculous things, and the leader will really despise them for it.	Imagine yourself as a leader who's come to despise every single one of their followers. Look down at them in disgust as they ask you to grant them all a pony.	The more you <kanji>despise</kanji> them, the more <reading>boo</reading>ze (<ja>ぶ</ja>) you drink. This is not smart or healthy, but it's what this kind of hate does to people.	This is not a healthy way to handle things! If you despise someone you should talk to them, don't turn to booze. Don't be like every leader that's come before you.		8703	-	kanji Lesson_59
鋳	Kanji	金, 三, 丿, 寸	Gold, Three, Slide, Measurement	radical, radical, radical, radical	Cast, Casting	Cast, Casting		<reading>ちゅう</reading>	い			ちゅう	い								Take <radical>three</radical> <radical>measurement</radical>s of <radical>gold</radical> and <radical>slide</radical> them into a mold to make a <kanji>cast</kanji>! You'll have cast three gold swords, or goblets, or ducks. Just make sure you follow those directions, or your casting won't come out right.	Imagine yourself carefully measuring out the three portions of gold and sliding them into your mold to make a cast of whatever you want. I wonder what it could be?	You open the <kanji>cast</kanji> to reveal your gold statue of <reading>Chew</reading>bacca (<ja>ちゅう)</ja>! It's life-size and now you have three! Your new gold Chewbacca casts are going to guard the entrance to your house.	Picture your majestic Chewbacca casts. Carefully set them outside your front door to guard you. This was a great idea!		8704	-	kanji Lesson_59
蔑	Kanji	艹, 罒, 戈, 丿, 丶	Flowers, Net, Drunkard, Slide, Drop	radical, radical, radical, radical, radical	Scorn, Neglect	Scorn, Neglect		<reading>べつ</reading>	さげす			べつ	さげす								In a <radical>flowers</radical> <radical>net</radical> a <radical>drunkard</radical> <radical>slide</radical>s down like a <radical>drop</radical>. There they stay, an icon of <kanji>scorn</kanji> and <kanji>neglect</kanji>.	It's embarrassing to fall down a flowers net while drunk. Despite that, there you are. Everyone who goes by scorns you or neglects you.	"Every time you receive <kanji>scorn</kanji> and <kanji>neglect</kanji> from someone walking by, you say in your drunken voice: ""I <reading>bets you</reading> (<ja>べつ</ja>) I can get up if I want. I bets you I can."""	"You try to get up, but no matter how much you ""bets you"" someone that you can get up, you slide back down the flowers net. ""I bets you I can do it next time,"" you say."		8705	-	kanji Lesson_59
胆	Kanji	月, 旦	Moon, Dawn	radical, radical	Guts	Guts		<reading>たん</reading>	きも			たん	きも								If you stay up for so long that you get to watch the <radical>moon</radical> go down and the <radical>dawn</radical> come, then people will say you have serious <kanji>guts</kanji>. Staying up that late is really hard, and not everyone can do it. If you don't have the guts to stay up, you'll just fall asleep and never see the moon and the sun switch places in the sky.	Imagine the guts you'd have to have to stay up for so long that you see the moon and the sun switch places! A lot of guts!	You were outside for so long, proving you had <kanji>guts</kanji>, that you also got a sweet <reading>tan</reading> (<ja>たん</ja>) out of it! It's a really deep tan though, and you probably need more guts if you ever want to do all that again.	Imagine having the guts to stay outside to watch the moon and the sun and then getting a really deep tan from it.		8706	-	kanji Lesson_59
浪	Kanji	氵, 良	Tsunami, Good	radical, radical	Wander	Wander		<reading>ろう</reading>				ろう									The <radical>tsunami</radical> that is <radical>good</radical>. This fabled creature has never been seen, but you <kanji>wander</kanji> the lands in search of it.	You wander everywhere, with no particular direction in mind.	As you <kanji>wander</kanji>, you come across a clue. It is fish <reading>roe</reading> (<ja>ろう</ja>). 	Wherever the good tsunami goes, it leaves delicious fish roe behind. That's what makes it a good tsunami.		8707	-	kanji Lesson_59
禍	Kanji	ネ, 冋	Spirit, Mustache	radical, radical	Evil, Misfortune	Evil, Misfortune		<reading>か</reading>	わざわい			か	わざわい								A <radical>spirit</radical> wearing two <radical>mustache</radical>s must be <kanji>evil</kanji>. Everyone knows a mustache makes you evil, but two? And on a spirit? Yup, definitely evil.	Look at the evil spirit with two mustaches on its spirit face. Imagine its face in detail, especially those mustaches.	You're watching the <kanji>evil</kanji> mustache spirit when it starts to float toward your <reading>ca</reading>r (<ja>か</ja>). And it's... hey! It's trashing your car! You knew this guy was evil!	Imagine running around, flailing your arms, trying to get the spirit to stop ruining your car. But your hands go right through him and his two mustaches. You can't stop his evil doings.		8708	-	kanji Lesson_59
酪	Kanji	酉, 各	Alcohol, Kiss	radical, radical	Dairy	Dairy		<reading>らく</reading>				らく									You can only give a <radical>kiss</radical> of <radical>alcohol</radical> to <kanji>dairy</kanji>. If you add anymore than a kiss the dairy will curdle and you won't be able to drink it anymore. Bleh.	Imagine trying to give more than a kiss of alcohol to dairy and watch it bubble and curdle and get all gross and chunky.	<kanji>Dairy</kanji> isn't kept with other drinks, it needs to be placed on a <reading>rack</reading> (<ja>らく</ja>). I hope you've been using your dairy rack to store your dairy. If you haven't you should get one right away!	Look at all your dairy products: milk, yogurt, cheese, all of it sitting nicely on your dairy rack.		8709	-	kanji Lesson_59
憧	Kanji	忄, 立, 里	Soul, Stand, Village	radical, radical, radical	Long For, Yearn	Long For, Yearn		しょう とう どう	<reading>あこが</reading>			あこが	しょう, とう, どう								Your <radical>soul</radical> <radical>stand</radical>s in the <radical>village</radical> you <kanji>long for</kanji>. It's the village you're from, and no matter how far you go, no matter how old you get, your soul is still there, and you <kanji>yearn</kanji> for it.	Have you ever been away from your village? Maybe you're far away right now, studying Japanese alone. Can't you feel your body longing for your soul back home?	No matter how much you <kanji>long for</kanji> it, you can't go back because <reading>a cougar</reading> (<ja>あこが</ja>) is in the way. Whenever you try to return to your village to be reunited with the soul you yearn for, a cougar is back, and won't let you in.	You long for a cougar to leave you alone! You yearn for a cougar to bother someone else!		8710	-	kanji Lesson_59
慶	Kanji	广, 覀, 亅, 心, 夂	Canopy, Helicopter, Barb, Heart, Winter	radical, radical, radical, radical, radical	Congratulate	Congratulate		<reading>けい</reading>	よろこ			けい	よろこ								If a pilot manages to land under a <radical>canopy</radical> with a <radical>helicopter</radical> that's pierced with a sideways <radical>barb</radical> in the <radical>heart</radical> of <radical>winter</radical> you should <kanji>congratulate</kanji> them! People should always be congratulated for doing good things, and this is one of the best things you've ever heard of!	Can you imagine how hard landing a helicopter in just one of these horrible conditions? Congratulate them!	<kanji>Congratulate</kanji> the pilot with <reading>ca</reading>ke (<ja>けい</ja>)!	Cake is always the appropriate celebratory food.		8711	-	kanji Lesson_59
亜	Kanji	亜	Asia	radical	Asia	Asia		<reading>あ</reading>	つ			あ	つ								The kanji and the radical that look like this are exactly the same. They are both <kanji>Asia</kanji>.	As long as you know the radical Asia, you know the kanji Asia.	What's the first sound in <kanji>Asia</kanji>? It's <reading>A</reading> (<ja>あ</ja>). Nice and easy!	A is for Asia!		8712	-	kanji Lesson_59
汰	Kanji	氵, 太	Tsunami, Fat	radical, radical	Select	Select		<reading>た</reading> <reading>たい</reading>	おご にご よな			た, たい	おご, にご, よな								If the <radical>tsunami</radical> that's heading for your village is <radical>fat</radical> you should try to <kanji>select</kanji> a different one to hit instead. You don't want to select fat tsunamis because they do more damage.	Imagine being at the tsunami store and selecting the least fat one there.	If you're having trouble <kanji>select</kanji>ing which one is the least fat just check to see which tsunamis are eating <reading>ta</reading>cos (<ja>た</ja>). Only fat tsunamis will be eating them, so just look for one without a taco.	While you select the tsunami that's right for you. Keep an eye out for those fat taco-eating ones. And then stay away from them!		8713	-	kanji Lesson_59
梓	Kanji	木, 辛	Tree, Spicy	radical, radical	Wood Block	Wood Block		し	<reading>あずさ</reading>			あずさ	し								"You make a <radical>tree</radical> <radical>spicy</radical> by turning it into a <kanji>wood block</kanji> print. The spice comes from all the porn you put on there. What? It wasn't me. <a href=""http://en.wikipedia.org/wiki/Shunga"" target=""_blank"">Porn wood blocks</a> have been around for ages! "	Imagine the journey a tree took to become a spicy wood block. MmMmm.	You make these <kanji>wood block</kanji>s using <reading>a zoo saw</reading> (<ja>あずさ</ja>) because a regular saw can't handle how spicy these wood blocks are gonna get once they're covered in dirty pictures.	Imagine using a zoo saw to cut the blocks out of a tree that you're going to spice up with awesome smut.		8714	-	kanji Lesson_59
沙	Kanji	氵, 少	Tsunami, Few	radical, radical	Sand	Sand		<reading>さ</reading> <reading>しゃ</reading>	すな よなげる			さ, しゃ	すな, よなげる								People think <radical>tsunami</radical>s are only made of water but they have a <radical>few</radical> pieces of <kanji>sand</kanji> in there too. There's actually more sand in the ocean than most people think. And tsunamis can't just have water and sharks in them. A few grains of sand will always slip in.	Imagine how those few grains of sand feel to get swept up into a tsunami. They didn't ask for this. They just wanted to stay at the bottom of the sea.	How do I know there's <kanji>sand</kanji> in there? Because I <reading>saw</reading> (<ja>さ</ja>) them! 	I saw the sand, stop doubting me!		8715	-	kanji Lesson_59
回忌	Vocabulary	回, 忌	Times, Mourning	kanji, kanji	Death Anniversary, Anniversary Of Death	Death Anniversary, Anniversary Of Death					<reading>かいき</reading>	かいき		Noun	今年は祖父の三回忌です。	Today is the second anniversary of my grandfather’s death.					The <kanji>times</kanji> when you are in <kanji>mourning</kanji> each year are for a loved one's <vocabulary>death anniversary</vocabulary>. They come around again every year. It's important you remember your loved ones at this time.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39107-subject-8453.mp3][sound:19230-subject-8453.mp3]	8716	-	Lesson_59 Vocabulary
忌	Vocabulary	忌	Mourning	kanji	Mourning, Mourning Period	Mourning, Mourning Period					<reading>き</reading>	き		Noun, Suffix	忌が明けたら、みんなで旅行でも行きましょうか。	When the mourning is over, shall we all go on a trip?					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:39163-subject-8454.mp3][sound:19267-subject-8454.mp3]	8717	-	Lesson_59 Vocabulary
禁忌	Vocabulary	禁, 忌	Prohibit, Mourning	kanji, kanji	Taboo	Taboo					<reading>きんき</reading>	きんき		Noun, する Verb, の Adjective	よく、禁忌を犯すと手足をもがれると言われますが、これは本当でしょうか。	It’s often said that your hands and feet are plucked off when you commit a taboo, is that true?					<kanji>Prohibition</kanji> of something with a punishment so serious that you'll end up in <kanji>mourning</kanji> after is a <vocabulary>taboo</vocabulary>. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39102-subject-8455.mp3][sound:19198-subject-8455.mp3]	8718	-	Lesson_59 Vocabulary
一周忌	Vocabulary	一, 周, 忌	One, Circumference, Mourning	kanji, kanji, kanji	First Anniversary Of Death, First Death Anniversary	First Anniversary Of Death, First Death Anniversary, 1st Anniversary Of Death, 1st Death Anniversary					<reading>いっしゅうき</reading>	いっしゅうき		Noun	七月には、妻の父の一周忌の法事があります。	In July we’re having the ceremony for my wife’s father’s first death anniversary.					"Remember how you learned that <ja>一周</ja> means ""one time around?"" Well if you're <kanji>mourning</kanji> one time like this a year, then it's because it's the <vocabulary>first anniversary of death</vocabulary> for a family member. Maybe it was the death of your mom, your grandad or your goldfish, this is the first year since they died. "		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39211-subject-8456.mp3][sound:19309-subject-8456.mp3]	8719	-	Lesson_59 Vocabulary
