Level	Kanji	Meaning	Meaning Elements	Radical Components	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
12	倍	Double,Times,Multiply	"<p class=""element-item primary""> Double </p>,<p class=""element-item""> Times </p>,<p class=""element-item""> Multiply </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>咅</jp-symbol></span><p>Clown</p></radical></div>"	"A <radical>leader</radical> who hires his own personal <radical>clown</radical> will likely <kanji>double</kanji> his entertainment. Clowns are funny and make people laugh, so the leader decided to hire one. Since that time, the leader’s amount of mirth has doubled. <br><br>  This also means <kanji>times</kanji>, which makes sense when you think about the kind of math you'll need to double something. What is A * 2? It's A doubled, first of all, but you're using multiplication. You're ""timesing"" something.<br><br>  - Hint: Picture a clown and all the ridiculous funny things they do. Imagine the clown throwing a pie at someone’s face and how funny that is. Chuckle to yourself and remember this kanji."	Kanji Meaning	-	Kanji_Meaning Level_12
12	童	Juvenile	"<p class=""element-item primary""> Juvenile </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>立</jp-symbol></span><p>Stand</p></radical><radical class=""component""><span><jp-symbol>里</jp-symbol></span><p>Village</p></radical></div>"	The people who <radical>stand</radical> in your <radical>village</radical> are <kanji>juvenile</kanji>s. They aren't babies, who crawl, and they aren't adults who sit in front of their computers all day. They're juveniles who stand.<br><br>  - Hint: Picture all of the juveniles standing in your village. You used to stand out there too and it was really boring, but at least kids these days have phones to keep them company.	Kanji Meaning	-	Kanji_Meaning Level_12
12	商	Merchandise	"<p class=""element-item primary""> Merchandise </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>立</jp-symbol></span><p>Stand</p></radical><radical class=""component""><span><jp-symbol>冋</jp-symbol></span><p>Mustache</p></radical><radical class=""component""><span><jp-symbol>儿</jp-symbol></span><p>Legs</p></radical></div>"	A <radical>stand</radical>ing <radical>mustache</radical> with <radical>legs</radical> is able to sell <kanji>merchandise</kanji>. Most mustaches can’t stand because they don’t have legs. This mustache, however, does. It also has a keen business sense, which is why it’s selling merchandise.<br><br>  - Hint: Imagine this mustache entrepreneur, standing at his merchandise stand, selling his wares. He looks quite dignified, legs and all.	Kanji Meaning	-	Kanji_Meaning Level_12
12	植	Plant	"<p class=""element-item primary""> Plant </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>直</jp-symbol></span><p>Fix</p></radical></div>"	If you want to <radical>fix</radical> a <radical>tree</radical> you have to <kanji>plant</kanji> it. It's pretty obvious that digging up the tree broke it. So fix it by planting it again. That is how plants work.<br><br>  - Hint: Is your tree broken? Fix it up by planting it somewhere else. Somewhere with the right amount of light and no biting bugs.	Kanji Meaning	-	Kanji_Meaning Level_12
12	根	Root	"<p class=""element-item primary""> Root </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>艮</jp-symbol></span><p>Root</p></radical></div>"	A <radical>tree</radical> <radical>root</radical> is still just a <kanji>root</kanji>!<br><br>  - Hint: Roots are roots, <jp>ね</jp>.	Kanji Meaning	-	Kanji_Meaning Level_12
12	流	Stream	"<p class=""element-item primary""> Stream </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-trash""></i></jp-symbol></span><p>Trash</p></radical><radical class=""component""><span><jp-symbol>川</jp-symbol></span><p>River</p></radical></div>"	A <radical>tsunami</radical> lifts all the <radical>trash</radical> out of the <radical>river</radical> and it <kanji>stream</kanji>s out onto the shores.<br><br>  - Hint: As the tsunami recedes, watch as all of the trash comes streaming out of the river and crowds the bank.	Kanji Meaning	-	Kanji_Meaning Level_12
12	陽	Sunshine,Sunlight	"<p class=""element-item primary""> Sunshine </p>,<p class=""element-item""> Sunlight </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>阝</jp-symbol></span><p>Building</p></radical><radical class=""component""><span><jp-symbol>易</jp-symbol></span><p>Easy</p></radical></div>"	A <radical>building</radical> has <radical>easy</radical> access to <kanji>sunshine</kanji>. It's big and tall, so the <kanji>sunlight</kanji> shines right onto its roof.<br><br>  - Hint: You're standing on top of the building as the sunshine comes down. Its warm light fills your entire body as it covers the building with ease.	Kanji Meaning	-	Kanji_Meaning Level_12
13	橋	Bridge	"<p class=""element-item primary""> Bridge </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>天</jp-symbol></span><p>Heaven</p></radical><radical class=""component""><span><jp-symbol>口</jp-symbol></span><p>Mouth</p></radical><radical class=""component""><span><jp-symbol>冋</jp-symbol></span><p>Mustache</p></radical></div>"	A <radical>tree</radical> from <radical>heaven</radical> with a <radical>mustache</radical> above his <radical>mouth</radical> valiantly crosses a <kanji>bridge</kanji>. This holy tree from heaven was sent down to earth to cross this very bridge. It is the tree’s angelic mission. Also the tree has a mouth and a mustache.<br><br>  - Hint: Picture this majestic tree as it crosses the bridge. Its mustache is very distinguished. Hear its roots and branches swaying, creaking, and cracking in the wind.	Kanji Meaning	-	Kanji_Meaning Level_13
13	疑	Doubt	"<p class=""element-item primary""> Doubt </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>匕</jp-symbol></span><p>Spoon</p></radical><radical class=""component""><span><jp-symbol>マ</jp-symbol></span><p>Mama</p></radical><radical class=""component""><span><jp-symbol>矢</jp-symbol></span><p>Arrow</p></radical><radical class=""component""><span><jp-symbol>疋</jp-symbol></span><p>Coat Rack</p></radical></div>"	When you get home from school, your <radical>mama</radical> says to hang your <radical>spoon</radical>s and <radical>arrow</radical>s on the <radical>coat rack</radical>. That doesn't sound like something your mama would say, and you begin to <kanji>doubt</kanji> that she's your mama at all! She usually takes them and washes them in the sink. You doubt you could hang them on the coat rack even if you tried.<br><br>  - Hint: Your mama is acting weird. You doubt she's really your mama. What are you going to do?	Kanji Meaning	-	Kanji_Meaning Level_13
13	養	Foster	"<p class=""element-item primary""> Foster </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>羊</jp-symbol></span><p>Sheep</p></radical><radical class=""component""><span><jp-symbol>良</jp-symbol></span><p>Good</p></radical><radical class=""component""><span><jp-symbol>ハ</jp-symbol></span><p>Fins</p></radical></div>"	<radical>Sheep</radical> <radical>fins</radical> are <radical>good</radical> for <kanji>foster</kanji>ing children. The sheep have been genetically combined with fish, so the sheep have fins (and they've lost their tails - which is why the tail part of the sheep radical is missing in this kanji!). These sheep fins are very rich in nutrients and as such are very good for foster children that need to grow up big and strong.<br><br>  - Hint: Imagine eating a fish fin with sheep wool on it. It tastes fishy like the ocean but the wool tastes like clothes. It’s probably the worst thing ever. Imagine eating something like this and taste its flavor on your tongue.	Kanji Meaning	-	Kanji_Meaning Level_13
13	億	Hundred Million	"<p class=""element-item primary""> Hundred Million </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>意</jp-symbol></span><p>Idea</p></radical></div>"	A cult <radical>leader</radical> has a great <radical>idea</radical> to recruit a <kanji>hundred million</kanji> new members. Since he’s the guy with all the ideas, he is the leader of the cult. His idea is to give every new member a free puppy. He’ll have a hundred million new recruits in no time.<br><br>  - Hint: Imagine a hundred million free puppies. That’s a lot. Imagine playing with all of them. You’d be pretty happy. Unless you hate puppies. Then you’d be pretty unhappy, I imagine.	Kanji Meaning	-	Kanji_Meaning Level_13
13	賞	Prize	"<p class=""element-item primary""> Prize </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-viking""></i></jp-symbol></span><p>Viking</p></radical><radical class=""component""><span><jp-symbol>口</jp-symbol></span><p>Mouth</p></radical><radical class=""component""><span><jp-symbol>貝</jp-symbol></span><p>Shellfish</p></radical></div>"	Shoot a <radical>shellfish</radical> that's in the <radical>mouth</radical> of a <radical>Viking</radical> at the fair and you'll win a <kanji>prize</kanji>. The game is to shoot the shellfish in the Viking's mouth and knock it over.<br><br>  - Hint: Imagine looking at a big Viking with a shellfish in its mouth. You want to knock it over. You want this prize.	Kanji Meaning	-	Kanji_Meaning Level_13
13	課	Section	"<p class=""element-item primary""> Section </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>言</jp-symbol></span><p>Say</p></radical><radical class=""component""><span><jp-symbol>果</jp-symbol></span><p>Fruit</p></radical></div>"	I always <radical>say</radical> the <radical>fruit</radical> <kanji>section</kanji> at the grocery should be at the front of the store. It’s the perfect place for the fruit section, I say.<br><br>  - Hint: Think about it. Every grocery store has the fruit section right at the front, wouldn’t you say?	Kanji Meaning	-	Kanji_Meaning Level_13
13	像	Statue,Image	"<p class=""element-item primary""> Statue </p>,<p class=""element-item""> Image </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>象</jp-symbol></span><p>Elephant</p></radical></div>"	The <radical>leader</radical> of the <radical>elephant</radical>s was so great, they made a <kanji>statue</kanji> of him. This <kanji>image</kanji> of him looks down on all the other elephants at all times.<br><br>  - Hint: For now, just imagine the leader of the elephants being told they're getting a statue. Don't think about what the statue looks like, because that's next.	Kanji Meaning	-	Kanji_Meaning Level_13
14	雰	Atmosphere	"<p class=""element-item primary""> Atmosphere </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>雨</jp-symbol></span><p>Rain</p></radical><radical class=""component""><span><jp-symbol>分</jp-symbol></span><p>Part</p></radical></div>"	<radical>Part</radical> <radical>rain</radical>, part other stuff. I imagine this is what people thought the <kanji>atmosphere</kanji> was made out of thousands of years ago.<br><br>  - Hint: Imagine looking up into the sky, trying to figure out what the atmosphere up there is made out of. Your only lead: It's raining, a lot. So, the atmosphere must be partly made of rain, and it's just falling down.	Kanji Meaning	-	Kanji_Meaning Level_14
14	周	Circumference	"<p class=""element-item primary""> Circumference </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>周</jp-symbol></span><p>Circumference</p></radical></div>"	The <radical>circumference</radical> radical and the <kanji>circumference</kanji> kanji are the same!<br><br>  - Hint: Know your radicals, yo!	Kanji Meaning	-	Kanji_Meaning Level_14
14	基	Foundation	"<p class=""element-item primary""> Foundation </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>其</jp-symbol></span><p>Crab</p></radical><radical class=""component""><span><jp-symbol>土</jp-symbol></span><p>Dirt</p></radical></div>"	<radical>Crab</radical>s in the <radical>dirt</radical> make a great <kanji>foundation</kanji> for a seaside hut. It's right on the seashore, where all the crabs dig their holes in the dirt. But as they get old and die, their bodies form a strong base. Perfect for the foundation of a building like this!<br><br>  - Hint: Do you live on the beach? Maybe the foundation of your house was made from crabs in dirt too. Why don't you go outside and check?	Kanji Meaning	-	Kanji_Meaning Level_14
14	妥	Gentle	"<p class=""element-item primary""> Gentle </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-cleat""></i></jp-symbol></span><p>Cleat</p></radical><radical class=""component""><span><jp-symbol>女</jp-symbol></span><p>Woman</p></radical></div>"	A <radical>woman</radical> with <radical>cleat</radical>s is walking on someone's back, but she doesn't want to hurt him. She has to be very <kanji>gentle</kanji>. Cleats are sharp and pointy, and not designed for back walking, so she's being extra, special gentle right now.<br><br>  - Hint: Picture a woman walking gently over someone's back. She's hardly moving.	Kanji Meaning	-	Kanji_Meaning Level_14
14	固	Hard	"<p class=""element-item primary""> Hard </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>口</jp-symbol></span><p>Mouth</p></radical><radical class=""component""><span><jp-symbol>古</jp-symbol></span><p>Old</p></radical></div>"	A <radical>mouth</radical> that is <radical>old</radical> is going to be <kanji>hard</kanji>.<br><br>  - Hint: Go ahead and touch that old man's mouth. It's super hard feeling when you touch it.	Kanji Meaning	-	Kanji_Meaning Level_14
14	材	Lumber,Material,Timber	"<p class=""element-item primary""> Lumber </p>,<p class=""element-item""> Material </p>,<p class=""element-item""> Timber </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>才</jp-symbol></span><p>Genius</p></radical></div>"	A <radical>tree</radical> to a <radical>genius</radical> immediately becomes <kanji>lumber</kanji>. They can look at the tree and see more: the ability to turn it into lumber into <kanji>material</kanji> and use it for a million different things.<br><br>  - Hint: Picture the genius staring at a large tree. Math symbols and equations fly around in their head, until finally a little lightbulb and a pile of lumber appear above their head.	Kanji Meaning	-	Kanji_Meaning Level_14
14	松	Pine,Pine Tree	"<p class=""element-item primary""> Pine </p>,<p class=""element-item""> Pine Tree </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>公</jp-symbol></span><p>Public</p></radical></div>"	When climbing a <radical>tree</radical> in <radical>public</radical>, it’s best to choose a <kanji>pine</kanji>. Pine trees offer the most coverage, so you’ll be able to hide, even out in public.<br><br>  - Hint: Imagine climbing up a pine tree. The pine needles are prickly, so your hands get pricked as you climb. Smell the pine tree smell and feel the pine sap on your hands.	Kanji Meaning	-	Kanji_Meaning Level_14
14	技	Skill	"<p class=""element-item primary""> Skill </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>扌</jp-symbol></span><p>Fingers</p></radical><radical class=""component""><span><jp-symbol>支</jp-symbol></span><p>Branch</p></radical></div>"	You can <radical>branch</radical> out your <radical>fingers</radical>. It's your special <kanji>skill</kanji>. Your fingers branch out into smaller fingers and you can hold things really well. You can type super-duper fast. And you can win any tickle fight. These are skills you have thanks to your branching fingers.<br><br>  - Hint: If you could have any skill imaginable, what would it be? Would it be to have these magical branching fingers? (Definitely. It would.)	Kanji Meaning	-	Kanji_Meaning Level_14
14	苺	Strawberry	"<p class=""element-item primary""> Strawberry </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>艹</jp-symbol></span><p>Flowers</p></radical><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical><radical class=""component""><span><jp-symbol>丶</jp-symbol></span><p>Drop</p></radical></div>"	If <radical>flowers</radical> are in the <radical>sun</radical> and they receive one <radical>drop</radical> and then another <radical>drop</radical> of water, they turn into a <kanji>strawberry</kanji>.<br><br>  - Hint: Imagine a sunny field full of flowers, which all combine into one enormous strawberry when two drops of water fall onto them. Two drops isn't much, so they have to work together to make the giant strawberry.	Kanji Meaning	-	Kanji_Meaning Level_14
14	囲	Surround	"<p class=""element-item primary""> Surround </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>口</jp-symbol></span><p>Mouth</p></radical><radical class=""component""><span><jp-symbol>井</jp-symbol></span><p>Well</p></radical></div>"	The <radical>mouth</radical> of a <radical>well</radical> will <kanji>surround</kanji> you if you fall into it. The mouth of a well is the opening of the well, and if you fall into that well, the mouth as well as the rest of the well will surround you.<br><br>  - Hint: Picture yourself surrounded by this well on all sides. You look up and you can barely see the mouth of the well where you fell in and now you are trapped. Imagine how scared you are. Imagine trying to claw your way up the sides of the well but all you do is break your nails on the walls.	Kanji Meaning	-	Kanji_Meaning Level_14
14	希	Wish	"<p class=""element-item primary""> Wish </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>メ</jp-symbol></span><p>Treasure</p></radical><radical class=""component""><span><jp-symbol>ナ</jp-symbol></span><p>Narwhal</p></radical><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical></div>"	"There is a <radical>treasure</radical> on top of a <radical>narwhal</radical> who wears a <radical>towel</radical> that will grant your greatest <kanji>wish</kanji>.<br><br>  - Hint: Picture this narwhal: above its long horn there is a huge, shiny treasure floating. It pulls the towel tight around itself, ""Brururu you found me I see!"" it whistles at you."	Kanji Meaning	-	Kanji_Meaning Level_14
14	狼	Wolf	"<p class=""element-item primary""> Wolf </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>犭</jp-symbol></span><p>Animal</p></radical><radical class=""component""><span><jp-symbol>良</jp-symbol></span><p>Good</p></radical></div>"	One <radical>animal</radical> that is particularly  <radical>good</radical> is the <kanji>wolf</kanji>. Wolves have a bad reputation, but actually they're very, very good animals.<br><br>  - Hint: When wolves are reintroduced to an ecosystem, good things happen. Overpopulation in deer and other animals decline, plants grow and create more habitats, and the balance of wildlife improves. It all starts with wolves, who are good dogs.<br><br>  - Hint: Also, wolves take care of wild, abandoned kids. Only wolves do that, because they're good. Just ask Mowgli!	Kanji Meaning	-	Kanji_Meaning Level_14
15	紀	Account,Narrative	"<p class=""element-item primary""> Account </p>,<p class=""element-item""> Narrative </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical><radical class=""component""><span><jp-symbol>己</jp-symbol></span><p>Oneself</p></radical></div>"	The <radical>thread</radical> you weave together to tell others about <radical>oneself</radical> is the <kanji>account</kanji> of your life. It's your very own <kanji>narrative</kanji>, tying everything you've been through together.<br><br>  - Hint: Picture this account of your life, the thread of the narrative linking all of the different important points in your life together.	Kanji Meaning	-	Kanji_Meaning Level_15
15	軍	Army	"<p class=""element-item primary""> Army </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>冖</jp-symbol></span><p>Forehead</p></radical><radical class=""component""><span><jp-symbol>車</jp-symbol></span><p>Car</p></radical></div>"	You run into someone's <radical>forehead</radical> with your <radical>car</radical>. The big forehead you hit is Kim Jong Un's. You know that now you're going to have the whole North Korean <kanji>army</kanji> coming after you.<br><br>  - Hint: Imagine yourself running away from the North Korean army. You have to get to the border, the entire army is coming after you for hitting their dear leader!	Kanji Meaning	-	Kanji_Meaning Level_15
15	岩	Boulder	"<p class=""element-item primary""> Boulder </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>山</jp-symbol></span><p>Mountain</p></radical><radical class=""component""><span><jp-symbol>石</jp-symbol></span><p>Stone</p></radical></div>"	A <radical>mountain</radical> <radical>stone</radical> is probably going to be a really big stone. We're talking about a <kanji>boulder</kanji> here.<br><br>  - Hint: This kanji makes a lot of sense. Just follow the logic.	Kanji Meaning	-	Kanji_Meaning Level_15
15	築	Construct,Build	"<p class=""element-item primary""> Construct </p>,<p class=""element-item""> Build </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>竹</jp-symbol></span><p>Bamboo</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-saw""></i></jp-symbol></span><p>Saw</p></radical><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical></div>"	You <radical>saw</radical> down a <radical>bamboo</radical> <radical>tree</radical> to <kanji>construct</kanji> and <kanji>build</kanji> a building. Bamboo trees are great for construction, so you saw down a bunch of bamboo trees to build this new building.<br><br>  - Hint: Imagine yourself sawing down this bamboo tree. Feel the saw in your hands as you slide through the bamboo, wood chips flying everywhere.	Kanji Meaning	-	Kanji_Meaning Level_15
15	司	Director	"<p class=""element-item primary""> Director </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-cape""></i></jp-symbol></span><p>Cape</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-creeper""></i></jp-symbol></span><p>Creeper</p></radical></div>"	A <radical>creeper</radical> inside of a <radical>cape</radical>, who are they? They’re the <kanji>director</kanji> of a movie. They try to look all mysterious, but you know it’s just so people go see their movies and think they’re cool. Really they’re just a creep deep down.<br><br>  - Hint: Picture the creepiest director you know. Wearing a cloak and cackling as he directs your favorite actors.	Kanji Meaning	-	Kanji_Meaning Level_15
15	区	District,Ward	"<p class=""element-item primary""> District </p>,<p class=""element-item""> Ward </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>匚</jp-symbol></span><p>Cage</p></radical><radical class=""component""><span><jp-symbol>メ</jp-symbol></span><p>Treasure</p></radical></div>"	This <radical>cage</radical> with <radical>treasure</radical> in it is actually a map of the <kanji>district</kanji> the treasure is in.<br><br>  - Hint: Picture a big pirate map, and on it are a bunch of these markers for the districts where you can find the treasures you've been searching for.	Kanji Meaning	-	Kanji_Meaning Level_15
15	毒	Poison	"<p class=""element-item primary""> Poison </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>生</jp-symbol></span><p>Life</p></radical><radical class=""component""><span><jp-symbol>毋</jp-symbol></span><p>Window</p></radical></div>"	To throw <radical>life</radical> out the <radical>window</radical>, use <kanji>poison</kanji>.<br><br>  - Hint: To keep life safely inside the window, put that poison down.	Kanji Meaning	-	Kanji_Meaning Level_15
15	坂	Slope	"<p class=""element-item primary""> Slope </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>土</jp-symbol></span><p>Dirt</p></radical><radical class=""component""><span><jp-symbol>反</jp-symbol></span><p>Anti</p></radical></div>"	This is <radical>anti</radical> <radical>dirt</radical>. The dirt is becoming not dirt as it goes on, forming a... <kanji>slope</kanji>! Really what is the air above a slope but anti dirt?<br><br>  - Hint: This is some high level thinking, but I know you can do it. Picture a slope. Now picture an anti slope (like a negative image). It's all just dirt and anti dirt at the same time! Woah! Mind Freak!	Kanji Meaning	-	Kanji_Meaning Level_15
