Level	Kanji	Meaning	Meaning Elements	Radical Components	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
19	歴	Continuation	"<p class=""element-item primary""> Continuation </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>厂</jp-symbol></span><p>Cliff</p></radical><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>止</jp-symbol></span><p>Stop</p></radical></div>"	You <radical>stop</radical> at a <radical>cliff</radical> with a <radical>tree</radical> on it, realizing that <kanji>continuation</kanji> is impossible unless you find some way to bridge the gap to the other side of the cliff. The tree seems long enough to reach to the other side, but how are you going to chop it down?<br><br>  - Hint: Imagine yourself on this cliff. You desire a continuation for your journey, not wanting to stop here. Feel the strong wind on your body, blowing your hair about as you stand on the edge of the cliff. The leaves on the tree rustle in the breeze.	Kanji Meaning	-	Kanji_Meaning Level_19 Genki_L1
19	史	History	"<p class=""element-item primary""> History </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>史</jp-symbol></span><p>History</p></radical></div>"	The <radical>history</radical> radical and the <kanji>history</kanji> kanji are the same.<br><br>  - Hint: Know your radicals, yo!	Kanji Meaning	-	Kanji_Meaning Level_19 Genki_L1
21	済	Come To An End	"<p class=""element-item primary""> Come To An End </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>斉</jp-symbol></span><p>Simultaneous</p></radical></div>"	You see a <radical>tsunami</radical> that's <radical>simultaneous</radical> (with another tsunami, I assume) and you know the world is about to <kanji>come to an end</kanji>.<br><br>  - Hint: Imagine a tsunami simultaneously happening as the world comes to an end. Oh no, isn't there any way to stop this!?	Kanji Meaning	-	Kanji_Meaning Level_21 Genki_L1
21	際	Occasion	"<p class=""element-item primary""> Occasion </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>阝</jp-symbol></span><p>Building</p></radical><radical class=""component""><span><jp-symbol>祭</jp-symbol></span><p>Festival</p></radical></div>"	<radical>Building</radical>s hold <radical>festival</radical>s on special <kanji>occasion</kanji>s.<br><br>  - Hint: A festival can't be happening all the time. Then it wouldn't be special, it would just be a party building, so they can only happen on special occasions.	Kanji Meaning	-	Kanji_Meaning Level_21 Genki_L1
23	護	Defend	"<p class=""element-item primary""> Defend </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>言</jp-symbol></span><p>Say</p></radical><radical class=""component""><span><jp-symbol>艹</jp-symbol></span><p>Flowers</p></radical><radical class=""component""><span><jp-symbol>隹</jp-symbol></span><p>Turkey</p></radical><radical class=""component""><span><jp-symbol>又</jp-symbol></span><p>Stool</p></radical></div>"	They <radical>say</radical> that <radical>flowers</radical> held by a <radical>turkey</radical> on a <radical>stool</radical> are good to <kanji>defend</kanji> yourself with. Even better than a guard dog they say. People are so confused by the turkey sitting on a stool holding flowers that they just lose their will to fight. This turkey is great to defend yourself and your home.<br><br>  - Hint: Picture this turkey holding its flowers while sitting on its stool. Hear it gobbling as it defends everything around it with its mere presence.	Kanji Meaning	-	Kanji_Meaning Level_23 Genki_L1
23	師	Teacher,Expert,Master	"<p class=""element-item primary""> Teacher </p>,<p class=""element-item""> Expert </p>,<p class=""element-item""> Master </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>丶</jp-symbol></span><p>Drop</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-bear""></i></jp-symbol></span><p>Bear</p></radical><radical class=""component""><span><jp-symbol>一</jp-symbol></span><p>Ground</p></radical><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical></div>"	A <radical>drop</radical> of water falls from a <radical>bear</radical> onto the <radical>ground</radical> and needs to be wiped up with a <radical>towel</radical>. Only a <kanji>teacher</kanji> or an <kanji>expert</kanji> could get away with getting close to this wet bear to wipe up after it.<br><br>  - Hint: The expert is also your teacher, and she's showing you how to clean up after this bear.	Kanji Meaning	-	Kanji_Meaning Level_23 Genki_L1
23	看	Watch Over	"<p class=""element-item primary""> Watch Over </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>手</jp-symbol></span><p>Hand</p></radical><radical class=""component""><span><jp-symbol>目</jp-symbol></span><p>Eye</p></radical></div>"	Put your <radical>hand</radical> over your <radical>eye</radical> to <kanji>watch over</kanji> others.<br><br>  - Hint: You know that way cartoon characters and pirates watch out below them, with their hand shading their eye? That! Now imagine doing that right now.	Kanji Meaning	-	Kanji_Meaning Level_23 Genki_L1
28	攻	Aggression	"<p class=""element-item primary""> Aggression </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>工</jp-symbol></span><p>Construction</p></radical><radical class=""component""><span><jp-symbol>夂</jp-symbol></span><p>Winter</p></radical></div>"	<radical>Construction</radical> in the <radical>winter</radical> leads to <kanji>aggression</kanji>. Just think about it. It's cold, it's unpleasant, and you don't want to be there. So, you start to develop an aggression towards other people working with you on this winter project.<br><br>  - Hint: Imagine yourself walking through the winter construction site, taking out your aggression on anyone you see. You hate this winter construction!	Kanji Meaning	-	Kanji_Meaning Level_28 Genki_L1
28	婦	Wife	"<p class=""element-item primary""> Wife </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>女</jp-symbol></span><p>Woman</p></radical><radical class=""component""><span><jp-symbol>ヨ</jp-symbol></span><p>Wolverine</p></radical><radical class=""component""><span><jp-symbol>冖</jp-symbol></span><p>Forehead</p></radical><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical></div>"	That <radical>woman</radical> dressed as <radical>Wolverine</radical> with a <radical>towel</radical> tied around her <radical>forehead</radical> is your <kanji>wife</kanji>. You're cosplaying together!<br><br>  - Hint: Picture your kick-butt wife in her Wolverine costume, the towel around her forehead so she doesn't sweat into her eyes, as you prepare to go to a convention together.	Kanji Meaning	-	Kanji_Meaning Level_28 Genki_L1
29	韓	Korea	"<p class=""element-item primary""> Korea </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>韋</jp-symbol></span><p>Korea</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-morning""></i></jp-symbol></span><p>Morning</p></radical></div>"	In the <radical>morning</radical>, <radical>Korea</radical> will still be <kanji>Korea</kanji>.<br><br>  - Hint: Picture Korea first thing in the morning. You can see all the cities, the countryside, everything waking up.	Kanji Meaning	-	Kanji_Meaning Level_29 Genki_L1
11	便	Convenience,Convenient	"<p class=""element-item primary""> Convenience </p>,<p class=""element-item""> Convenient </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>一</jp-symbol></span><p>Ground</p></radical><radical class=""component""><span><jp-symbol>田</jp-symbol></span><p>Rice Paddy</p></radical><radical class=""component""><span><jp-symbol>メ</jp-symbol></span><p>Treasure</p></radical></div>"	"A <radical>leader</radical> stands upon the <radical>ground</radical> of the <radical>rice paddy</radical>. She is searching for <radical>treasure</radical>. It is said that this treasure here in this rice field will make things much easier for the leader (that's what leaders really want, after all). If she gets this treasure, it will be a great <kanji>convenience</kanji> for her, because convenience is everything when you're the leader.<br><br>  - Hint: Imagine the leader looking around the rice paddy. She keeps saying, ""Ugh, it would be convenient if I didn't have to walk around out here looking for the treasure that's going to make things more convenient for me. Ugh."" Go ahead and say this phrase out loud, too, pretending to be the leader in the rice paddy. Feel the cold and the wet, making it less convenient for you."	Kanji Meaning	-	Kanji_Meaning Level_11 Genki_L2
12	消	Extinguish	"<p class=""element-item primary""> Extinguish </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-triceratops""></i></jp-symbol></span><p>Triceratops</p></radical><radical class=""component""><span><jp-symbol>月</jp-symbol></span><p>Moon</p></radical></div>"	A long time ago a huge <radical>tsunami</radical> swept a <radical>triceratops</radical> up into the <radical>moon</radical> and <kanji>extinguish</kanji>ed its life.<br><br>  - Hint: I’m sure you’ve heard many theories on how dinosaurs went extinct. Well, this is the real story. Imagine this poor triceratops and all his friends being extinguished by this powerful tsunami, sweeping them up into the moon where there's no air to breathe or leaves to eat.	Kanji Meaning	-	Kanji_Meaning Level_12 Genki_L2
16	辞	Quit,Word	"<p class=""element-item primary""> Quit </p>,<p class=""element-item""> Word </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>舌</jp-symbol></span><p>Tongue</p></radical><radical class=""component""><span><jp-symbol>辛</jp-symbol></span><p>Spicy</p></radical></div>"	When your <radical>tongue</radical> becomes too <radical>spicy</radical> for you to bear, it’s time to <kanji>quit</kanji> the jalapeño eating contest. You’ve been eating them for three hours now and the spiciness from the peppers is really burning your tongue. Throw in the towel, it’s time to quit the contest.<br><br>  This kanji has another meaning too:<br><br>  Eating isn't the only thing that makes your <radical>tongue</radical> <radical>spicy</radical>, so do certain <kanji>word</kanji>s. Say your favorite words out loud right now. Feel them on your tongue. Words are the spicy food of language!<br><br>  - Hint: You may have to quit eating but you never have to quit saying words. Especially if you're, well, trying to learn a whole new language full of them.	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L2
19	布	Cloth	"<p class=""element-item primary""> Cloth </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ナ</jp-symbol></span><p>Narwhal</p></radical><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical></div>"	To a <radical>narwhal</radical>, a <radical>towel</radical> is just normal <kanji>cloth</kanji>. They're always wet so towel cloth is all they know.<br><br>  - Hint: Picture a narwhal wrapped in a fuzzy towel blanket, with a towel tail cover, and some towel underpants. Everything is made of this type of cloth.	Kanji Meaning	-	Kanji_Meaning Level_19 Genki_L2
19	財	Wealth	"<p class=""element-item primary""> Wealth </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>貝</jp-symbol></span><p>Shellfish</p></radical><radical class=""component""><span><jp-symbol>才</jp-symbol></span><p>Genius</p></radical></div>"	Give <radical>shellfish</radical> to a <radical>genius</radical> and they'll have no problem accumulating <kanji>wealth</kanji>. Geniuses can make loads of money out of pretty much anything, so shellfish are like easy-mode.<br><br>  - Hint: Picture the genius huddled over a pile of shellfish, muttering about all the wealth he'll amass once he's done.	Kanji Meaning	-	Kanji_Meaning Level_19 Genki_L2
26	鉛	Lead	"<p class=""element-item primary""> Lead </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>金</jp-symbol></span><p>Gold</p></radical><radical class=""component""><span><jp-symbol>ハ</jp-symbol></span><p>Fins</p></radical><radical class=""component""><span><jp-symbol>口</jp-symbol></span><p>Mouth</p></radical></div>"	You hold <radical>gold</radical> <radical>fins</radical> in your <radical>mouth</radical> while shopping for pencil <kanji>lead</kanji> at the store. This pencil lead store only accepts gold fins as payment, but your fins don’t fit in your pockets and you need your hands to carry the lead so the gold fins go in your mouth.<br><br>  - Hint: Imagine having these gold fins in your mouth. Taste the metal as your tongue runs over them.	Kanji Meaning	-	Kanji_Meaning Level_26 Genki_L2
26	郵	Mail,Post	"<p class=""element-item primary""> Mail </p>,<p class=""element-item""> Post </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>車</jp-symbol></span><p>Car</p></radical><radical class=""component""><span><jp-symbol>阝</jp-symbol></span><p>Building</p></radical></div>"	A broken <radical>car</radical> sits in a <radical>building</radical>. You need to get rid of it, so you put it in the <kanji>mail</kanji>. Or, depending on where you live, maybe you put it in the <kanji>post</kanji>.<br><br>  - Hint: You just put some postage on it and watch the mail carrier take it away like any other piece of mail.	Kanji Meaning	-	Kanji_Meaning Level_26 Genki_L2
26	筆	Writing Brush	"<p class=""element-item primary""> Writing Brush </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>竹</jp-symbol></span><p>Bamboo</p></radical><radical class=""component""><span><jp-symbol>聿</jp-symbol></span><p>Brush</p></radical></div>"	Out of <radical>bamboo</radical>, you make a <radical>brush</radical> – a <kanji>writing brush</kanji>. This is no ordinary brush, mind you. It is a brush specifically designed for writing elegant characters. And it’s made from bamboo!<br><br>  - Hint: Imagine yourself using this bamboo writing brush. Do you know many kanji? Of course you do! Imagine yourself writing them all with this nice writing brush. It’s actually fun to write things with it!	Kanji Meaning	-	Kanji_Meaning Level_26 Genki_L2
27	靴	Shoes	"<p class=""element-item primary""> Shoes </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>革</jp-symbol></span><p>Leather</p></radical><radical class=""component""><span><jp-symbol>化</jp-symbol></span><p>Change</p></radical></div>"	Take your <radical>leather</radical> and <radical>change</radical> it into <kanji>shoes</kanji>.<br><br>  - Hint: You start with a sheet of leather. Now imagine yourself going through the process of changing them to shoes. Smell the leather and feel it, too.	Kanji Meaning	-	Kanji_Meaning Level_27 Genki_L2
28	傘	Umbrella	"<p class=""element-item primary""> Umbrella </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-hat""></i></jp-symbol></span><p>Hat</p></radical><radical class=""component""><span><jp-symbol>人</jp-symbol></span><p>Person</p></radical><radical class=""component""><span><jp-symbol>十</jp-symbol></span><p>Cross</p></radical></div>"	As a <radical>hat</radical>, <radical>four people</radical> holding a <radical>cross</radical> use an <kanji>umbrella</kanji>. The umbrella is big enough to be a hat for all four people, so it makes sense. All four of them are religious missionaries, so that’s why they’re holding the cross.<br><br>  - Hint: See these four people all under one umbrella. No one is carrying the umbrella, it’s just resting on all of their heads like a hat. Their hands are busy holding that cross, anyway.	Kanji Meaning	-	Kanji_Meaning Level_28 Genki_L2
29	板	Board	"<p class=""element-item primary""> Board </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>反</jp-symbol></span><p>Anti</p></radical></div>"	"If you're <radical>anti</radical>-<radical>tree</radical>, you won't mind if I turn all of them into <kanji>board</kanji>s! Hahaha!<br><br>  - Hint: ""Boards are much more useful than trees."" - The Anti-Tree Association. Now picture this sign on a big machine that's cutting up all the trees into big boards."	Kanji Meaning	-	Kanji_Meaning Level_29 Genki_L2
31	菜	Vegetable	"<p class=""element-item primary""> Vegetable </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>艹</jp-symbol></span><p>Flowers</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-cleat""></i></jp-symbol></span><p>Cleat</p></radical><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical></div>"	You want some <radical>flowers</radical> so you take your <radical>cleat</radical> to the side of a <radical>tree</radical> hoping they'll fall down, but you get a <kanji>vegetable</kanji> instead. What? You kick the tree again and another, different vegetable falls out.<br><br>  - Hint: Now you have two vegetables and no flowers. Do vegetables even grow on trees?	Kanji Meaning	-	Kanji_Meaning Level_31 Genki_L2
32	机	Desk	"<p class=""element-item primary""> Desk </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>几</jp-symbol></span><p>Table</p></radical></div>"	A <radical>tree</radical> combines with a <radical>table</radical> to make a <kanji>desk</kanji>. When you think about it, a desk is just a table with more stuff. To make this more stuff, like drawers and such, you need more wood, and wood comes from trees. Add materials from the tree to the table and you have a desk.<br><br>  - Hint: Chop this tree into pieces to transform this table into a desk. Hear the sounds of construction in your head as you make this desk with your bare hands.	Kanji Meaning	-	Kanji_Meaning Level_32 Genki_L2
33	窓	Window	"<p class=""element-item primary""> Window </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>穴</jp-symbol></span><p>Hole</p></radical><radical class=""component""><span><jp-symbol>ム</jp-symbol></span><p>Private</p></radical><radical class=""component""><span><jp-symbol>心</jp-symbol></span><p>Heart</p></radical></div>"	The <radical>hole</radical> leading to the <radical>private</radical> <radical>heart</radical> of your house is the <kanji>window</kanji>. Or maybe it's just the window to your soul, and not your house. Like the poetry people say.<br><br>  - Hint: Imagine someone looking into a hole that shows your private heart. That's a window. A window you probably should have kept closed. Now everyone is looking in.	Kanji Meaning	-	Kanji_Meaning Level_33 Genki_L2
34	紅	Deep Red,Crimson	"<p class=""element-item primary""> Deep Red </p>,<p class=""element-item""> Crimson </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>工</jp-symbol></span><p>Construction</p></radical><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical></div>"	In this <radical>construction</radical> project, they will be using <radical>thread</radical> to hold everything together. The color of the thread is a <kanji>deep red</kanji>, and it gives everything a <kanji>crimson</kanji> look.<br><br>  - Hint: Because thread isn't that strong, you have to use A LOT (to hold things like beams in place). So, the deep red / crimson thread actually stands out a lot in this construction project.	Kanji Meaning	-	Kanji_Meaning Level_34 Genki_L2
47	帽	Hat	"<p class=""element-item primary""> Hat </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>巾</jp-symbol></span><p>Towel</p></radical><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical><radical class=""component""><span><jp-symbol>目</jp-symbol></span><p>Eye</p></radical></div>"	You take a <radical>towel</radical> and wrap it around your head to keep the <radical>sun</radical> out of your <radical>eye</radical>s. You've invented... the <kanji>hat</kanji>!<br><br>  - Hint: A hat is just a piece of cloth or a towel you get to stay on your head. Extra points if it protect your eyes from the sun.	Kanji Meaning	-	Kanji_Meaning Level_47 Genki_L2
13	然	Nature	"<p class=""element-item primary""> Nature </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>月</jp-symbol></span><p>Moon</p></radical><radical class=""component""><span><jp-symbol>犬</jp-symbol></span><p>Dog</p></radical><radical class=""component""><span><jp-symbol>灬</jp-symbol></span><p>Boil</p></radical></div>"	Under a misshapen crescent <radical>moon</radical>, a <radical>dog</radical> <radical>boil</radical>s as much <kanji>nature</kanji> as it can find.<br><br>  - Hint: Picture a weird-looking, misshapen crescent moon casting its light onto the scene of a dog boiling up everything you'd find in nature. Trees, sticks, mud, little animals. All of that is being boiled by this dog by the light of a weird-looking moon.	Kanji Meaning	-	Kanji_Meaning Level_13 Genki_L3
15	晩	Night,Evening	"<p class=""element-item primary""> Night </p>,<p class=""element-item""> Evening </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>日</jp-symbol></span><p>Sun</p></radical><radical class=""component""><span><jp-symbol>免</jp-symbol></span><p>Excuse</p></radical></div>"	The <radical>sun</radical> has an <radical>excuse</radical> for disappearing at <kanji>night</kanji>. The sun gets really tired, same as anyone else – so when night rolls around the sun excuses itself and goes to sleep. It’s a valid excuse.<br><br>  - Hint: Imagine you’re the sun, working all day. Of course you get tired. This is a good excuse to go to bed at night and get some rest. Feel how sore and hot and sweaty and exhausted you are after a hard day’s work of being the sun.	Kanji Meaning	-	Kanji_Meaning Level_15 Genki_L3
22	寝	Lie Down,Lay Down,Sleep	"<p class=""element-item primary""> Lie Down </p>,<p class=""element-item""> Lay Down </p>,<p class=""element-item""> Sleep </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>宀</jp-symbol></span><p>Roof</p></radical><radical class=""component""><span><jp-symbol>丬</jp-symbol></span><p>Icicle</p></radical><radical class=""component""><span><jp-symbol>ヨ</jp-symbol></span><p>Wolverine</p></radical><radical class=""component""><span><jp-symbol>冖</jp-symbol></span><p>Forehead</p></radical><radical class=""component""><span><jp-symbol>又</jp-symbol></span><p>Stool</p></radical></div>"	From the <radical>roof</radical>, an <radical>icicle</radical> falls and hits <radical>wolverine</radical> in the <radical>forehead</radical>, and he has to go over to the <radical>stool</radical> to <kanji>lie down</kanji>. And eventually he goes to <kanji>sleep</kanji>.<br><br>  - Hint: Picture this entire scene. The icicle falls in slow motion from the roof. It hits wolverine right in the middle of his forehead. He goes down. He has to lie down. He has to sleep.	Kanji Meaning	-	Kanji_Meaning Level_22 Genki_L3
26	障	Hinder	"<p class=""element-item primary""> Hinder </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>阝</jp-symbol></span><p>Building</p></radical><radical class=""component""><span><jp-symbol>章</jp-symbol></span><p>Chapter</p></radical></div>"	"There's a <radical>building</radical> standing in the way of the next <radical>chapter</radical> in your life, and it's <kanji>hinder</kanji>ing you. It's not like you couldn't find another way around, but it's definitely inconvenient.<br><br>  - Hint: Picture this huge, tall building standing directly in the way. You peer around the other side and there is a book floating in the air that says ""Chapter 5: Success and Happiness."" Dang, you really want to get over there to that part of your life."	Kanji Meaning	-	Kanji_Meaning Level_26 Genki_L3
