Level	Radical	Meaning	Meaning Elements	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
25	冓	Lifeguard	"<p class=""element-item primary"">Lifeguard</p>"	You have a task to save two kinds of lives. Who saves two kinds of lives? A <radical>lifeguard</radical>. They save the lives of people drowning, and then the lives of the people who go to try to help them. Picture a lifeguard saving the lives of two people at once. What a hero!	Radical	-	Level_25 Radical Genki_L6
29	尞	Charcoal	"<p class=""element-item primary"">Charcoal</p>"	When the sun gets small, you need to heat up by throwing some big horns in the fire. This turns into charcoal. Nice, toasty <radical>charcoal</radical> that keeps you warm when the sun gets small.	Radical	-	Level_29 Radical Genki_L6
18	凶	Treasure Chest	"<p class=""element-item primary"">Treasure Chest</p>"	There's a treasure radical inside this box. What holds treasures? A <radical>treasure chest</radical>.	Radical	-	Level_18 Radical Genki_L7
21	平	Peace	"<p class=""element-item primary"">Peace</p>"	This radical is the same as the kanji. It means <radical>peace</radical>.	Radical	-	Level_21 Radical Genki_L7
30	北	North	"<p class=""element-item primary"">North</p>"	This radical is the same as the kanji. It means <radical>north</radical>.	Radical	-	Level_30 Radical Genki_L7
11	艮	Root	"<p class=""element-item primary"">Root</p>"	If the sun is out and you kick the ground, you'll hit a <radical>root</radical>. Roots try to come up when the sun is bright. But if you kick too hard, the root will trip you, so watch out!	Radical	-	Level_11 Radical Genki_L7
25	友	Friend	"<p class=""element-item primary"">Friend</p>"	This radical is the same as the kanji. It means <radical>friend</radical>.	Radical	-	Level_25 Radical Genki_L7
33	享	Sock	"<p class=""element-item primary"">Sock</p>"	Best way to put a lid on the mouth of a child is to put a <radical>sock</radical> in that child's mouth. Shuts them up good, it does. Add a nice fat sock and they can't talk anymore, essentially putting a lid on their mouth.	Radical	-	Level_33 Radical Genki_L7
18	尭	Gambler	"<p class=""element-item primary"">Gambler</p>"	The <radical>gambler</radical> holds a cross as he plays blackjack. He stands on his two legs expectantly, hoping he hits the big one. He just put all his money down. If he doesn't win this one the gambler loses everything, including the two legs he's standing on.	Radical	-	Level_18 Radical Genki_L8
18	先	Previous	"<p class=""element-item primary"">Previous</p>"	This radical is the same as the kanji. It means <radical>previous</radical>.	Radical	-	Level_18 Radical Genki_L8
29	乙	Nose	"<p class=""element-item primary"">Nose</p>"	If you look at this radical right, you'll see a <radical>NOSE</radical> (with a squinty eye on the left).	Radical	-	Level_29 Radical Genki_L8
27	余	Surplus	"<p class=""element-item primary"">Surplus</p>"	This radical is the same as the kanji. It means <radical>surplus</radical>.	Radical	-	Level_27 Radical Genki_L8
14	勺	Pool	"<p class=""element-item primary"">Pool</p>"	There's a drop of water trapped in a prison. A prison for us to play in! It's a <radical>pool</radical>! The water may not like being in there, but all of us hot people sure do.	Radical	-	Level_14 Radical Genki_L8
32	舎	Cottage	"<p class=""element-item primary"">Cottage</p>"	This radical looks like a little house, one that would be perfect in the middle of nowhere, surrounded by bamboo and a little mountain stream. See the roof and the open door? That's why this is the <radical>cottage</radical> radical.	Radical	-	Level_32 Radical Genki_L8
14	井	Well	"<p class=""element-item primary"">Well</p>"	Think of this radical like a map you're looking down on. There are four streets going through this small town. Right in the middle is the most important thing—the <radical>well</radical>. Everyone goes through the four streets to get to the well and get the water they crave.	Radical	-	Level_14 Radical Genki_L8
27	代	Substitute	"<p class=""element-item primary"">Substitute</p>"	This radical is the same as the kanji. It means <radical>substitute</radical>.	Radical	-	Level_27 Radical Genki_L8
23	衣	Clothes	"<p class=""element-item primary"">Clothes</p>"	You kick a lid off a box. Inside the box is a bunch of <radical>clothes</radical>. This radical will be the same as the kanji you'll learn later on, so it's helpful to learn it as clothes even though it doesn't quite look like clothes.	Radical	-	Level_23 Radical Genki_L8
11	単	Simple	"<p class=""element-item primary"">Simple</p>"	There's some stuff growing out of this rice paddy and there is a cross guarding over it. This rice paddy is owned by a <radical>simple</radical> family that lives the simple life. They grow their rice, pray to their god, and everything is nice and simple. Ahh, I'm jealous.	Radical	-	Level_11 Radical Genki_L9
17	楽	Comfort	"<p class=""element-item primary"">Comfort</p>"	This radical is the same as the kanji. It means <radical>comfort</radical>.	Radical	-	Level_17 Radical Genki_L9
22	充	Allocate	"<p class=""element-item primary"">Allocate</p>"	You have some legs and you need to put them in the trash. But you'll get caught if you put them in one trash can. Quick, cut them up and <radical>allocate</radical> them to different trash cans around the city. Then you'll never get caught.	Radical	-	Level_22 Radical Genki_L9
17	無	Nothing	"<p class=""element-item primary"">Nothing</p>"	There are a bunch of cages boiling. But you look inside the cages and there... there's <radical>nothing</radical>. You boiled whatever was in there down to nothing!	Radical	-	Level_17 Radical Genki_L9
29	上	Above	"<p class=""element-item primary"">Above</p>"	This radical is the same as the kanji. It means <radical>above</radical>.	Radical	-	Level_29 Radical Genki_L9
36	甘	Sweet	"<p class=""element-item primary"">Sweet</p>"	This radical is the sun with its hair sticking out. Why is the sun's hair sticking out like this? It ate wayyy too many <radical>sweet</radical> things causing it to have too much energy, making its hair stand on end. It also kind of looks like a sweet, sweet candy with the wrapper sticking out. Remember it how you'd like.	Radical	-	Level_36 Radical Genki_L9
12	求	Request	"<p class=""element-item primary"">Request</p>"	This radical is the same as the kanji. It means <radical>request</radical>.	Radical	-	Level_12 Radical Genki_L10
13	東	East	"<p class=""element-item primary"">East</p>"	This radical is the same as the kanji. It means <radical>east</radical>.	Radical	-	Level_13 Radical Genki_L10
14	"<i class=""radical-bar""></i>"	Bar	"<p class=""element-item primary"">Bar</p>"	There are two drunkards here. That makes this radical a <radical>bar</radical>. Where else are you gonna drink?	Radical	-	Level_14 Radical Genki_L10
20	飛	Fly	"<p class=""element-item primary"">Fly</p>"	This radical is pretty complicated, but not much looks like this radical, so you're in luck. This looks like a giant flying fortress of some kind. See the propellers on the back as it moves to the left? Just imagine something like this flying through the air. That's why this radical is <radical>fly</radical>, because it is flying.	Radical	-	Level_20 Radical Genki_L10
21	角	Angle	"<p class=""element-item primary"">Angle</p>"	This radical is the same as the kanji. It means <radical>angle</radical>.	Radical	-	Level_21 Radical Genki_L10
19	复	Black Hole	"<p class=""element-item primary"">Black Hole</p>"	When you shoot your gun at the sun, it becomes winter. The shot you fired sent the sun into a crazy chain reaction, making it implode in on itself and become a <radical>black hole</radical>. Imagine this happening and imagine the shock you'd feel. You shot the sun. You caused this infinite winter (and soon black hole death).	Radical	-	Level_19 Radical Genki_L10
27	民	Peoples	"<p class=""element-item primary"">Peoples</p>"	This radical is the same as the kanji. It means <radical>peoples</radical>.	Radical	-	Level_27 Radical Genki_L10
11	令	Orders	"<p class=""element-item primary"">Orders</p>"	"The ""Hat-Ground"" stamp is on this envelope. That can only mean one thing: <radical>Orders</radical> from HQ. Imagine this stamp on some orders for you—read the orders out loud to help yourself remember that this hat-ground stamp means ""orders"" and nothing else."	Radical	-	Level_11 Radical Genki_L10
30	系	Lineage	"<p class=""element-item primary"">Lineage</p>"	A thread goes through the ground. It traces your <radical>lineage</radical>. You follow the thread all the way back through many generations, to find out your lineage involves Genghis Khan. Feel the thread and the dirt in your hand and actually trace the lineage.	Radical	-	Level_30 Radical Genki_L10
16	付	Attach	"<p class=""element-item primary"">Attach</p>"	This radical is the same as the kanji. It means <radical>attach</radical>.	Radical	-	Level_16 Radical Genki_L10
31	並	Line Up	"<p class=""element-item primary"">Line Up</p>"	This radical is the same as the kanji. It means <radical>line up</radical>.	Radical	-	Level_31 Radical Genki_L10
26	倉	Warehouse	"<p class=""element-item primary"">Warehouse</p>"	You put your hat on the ground and a flag in your mouth. You're letting the world know that they can use your mouth as a <radical>warehouse</radical>. Your gullet is open for storage business. Need to store some ice cream? Please use my mouth warehouse. ;D ;D ;D	Radical	-	Level_26 Radical Genki_L10
22	爰	Football	"<p class=""element-item primary"">Football</p>"	Your friend is on the ground and you step on him with your cleat. There is no friendship here. This is a true sport you're playing. This is <radical>football</radical>.	Radical	-	Level_22 Radical Genki_L10
33	間	Interval	"<p class=""element-item primary"">Interval</p>"	This radical is the same as the kanji. It means <radical>interval</radical>.	Radical	-	Level_33 Radical Genki_L10
33	"<i class=""radical-coral""></i>"	Coral	"<p class=""element-item primary"">Coral</p>"	In the water is a barb on the ground. It's <radical>coral</radical>. Coral may look pretty, but if you slip in the water and step on it, you're gonna get scratched up. That stuff is roooough.	Radical	-	Level_33 Radical Genki_L10
30	片	One Sided	"<p class=""element-item primary"">One Sided</p>"	This looks a bit like a waiter walking toward you with a platter in their hands... but wait. It's only half of a waiter. It's a <radical>one sided</radical> waiter!	Radical	-	Level_30 Radical Genki_L10
25	京	Capital	"<p class=""element-item primary"">Capital</p>"	This radical is the same as the kanji. It means <radical>capital</radical>.	Radical	-	Level_25 Radical Genki_L10
12	共	Together	"<p class=""element-item primary"">Together</p>"	This radical is the same as the kanji. It means <radical>together</radical>.	Radical	-	Level_12 Radical Genki_L11
17	虍	Tiger	"<p class=""element-item primary"">Tiger</p>"	You lost seven toes on a cliff, but you consider yourself lucky considering you got them taken off by the cliff <radical>tiger</radical> that lives in the area. Imagine a tiger taking your seven toes as you hang off the edge of a cliff if it helps. Exciting! (And also painful!)	Radical	-	Level_17 Radical Genki_L11
19	由	Reason	"<p class=""element-item primary"">Reason</p>"	This radical is the same as the kanji. It means <radical>reason</radical>.	Radical	-	Level_19 Radical Genki_L11
19	司	Director	"<p class=""element-item primary"">Director</p>"	This radical is the same as the kanji. It means <radical>director</radical>.	Radical	-	Level_19 Radical Genki_L11
13	百	Hundred	"<p class=""element-item primary"">Hundred</p>"	This radical is the same as the kanji. It means <radical>hundred</radical>.	Radical	-	Level_13 Radical Genki_L11
13	果	Fruit	"<p class=""element-item primary"">Fruit</p>"	Everything's about rice in ancient Japan and China. So the rice paddy that is on the tree isn't rice, of course, it's another kind of food. It's <radical>fruit</radical>!	Radical	-	Level_13 Radical Genki_L11
21	次	Next	"<p class=""element-item primary"">Next</p>"	This radical is the same as the kanji. It means <radical>next</radical>.	Radical	-	Level_21 Radical Genki_L11
34	亥	Slice	"<p class=""element-item primary"">Slice</p>"	See the guy? See how he was CUT IN HALF??? That must have been one heckuva <radical>slice</radical> to do that to a person.	Radical	-	Level_34 Radical Genki_L11
35	将	Commander	"<p class=""element-item primary"">Commander</p>"	Who wears cleats and takes your measurements for so long that icicles start forming on your body? Your <radical>commander</radical>. The commander is very, very particular. And everyone knows the commander has to get everything exactly right. So taking your measurements takes SO long that icicles grow out of your nose. But that's okay. You have to impress your new commander, darn it!	Radical	-	Level_35 Radical Genki_L11
25	莫	Greenhouse	"<p class=""element-item primary"">Greenhouse</p>"	Flowers grow big from the sun. In order to let them grow as big as possible, we put them in the <radical>greenhouse</radical>.	Radical	-	Level_25 Radical Genki_L11
21	啇	Mohawk	"<p class=""element-item primary"">Mohawk</p>"	You have something old on your head that's standing up. What is this thing? An awesome <radical>mohawk</radical>. You've had it so long it's looking pretty old... but still awesome.	Radical	-	Level_21 Radical Genki_L12
22	能	Ability	"<p class=""element-item primary"">Ability</p>"	This radical is the same as the kanji. It means <radical>ability</radical>.	Radical	-	Level_22 Radical Genki_L12
11	音	Sound	"<p class=""element-item primary"">Sound</p>"	This radical is the same as the kanji. It means <radical>sound</radical>.	Radical	-	Level_11 Radical Genki_L12
13	良	Good	"<p class=""element-item primary"">Good</p>"	This radical is the same as the kanji. It means <radical>good</radical>.	Radical	-	Level_13 Radical Genki_L12
29	臣	Servant	"<p class=""element-item primary"">Servant</p>"	Hey, it's that giant you learned before. But... but its arms are chained. They're chained because you caught the giant and now it's your <radical>servant</radical>!	Radical	-	Level_29 Radical Genki_L12
14	分	Part	"<p class=""element-item primary"">Part</p>"	This radical is the same as the kanji. It means <radical>part</radical>.	Radical	-	Level_14 Radical Genki_L12
29	責	Blame	"<p class=""element-item primary"">Blame</p>"	This radical is the same as the kanji. It means <radical>blame</radical>.	Radical	-	Level_29 Radical Genki_L12
32	同	Same	"<p class=""element-item primary"">Same</p>"	This radical is the same as the kanji. It means <radical>same</radical>.	Radical	-	Level_32 Radical Genki_L12
32	必	Certain	"<p class=""element-item primary"">Certain</p>"	This radical is the same as the kanji. It means <radical>certain</radical>.	Radical	-	Level_32 Radical Genki_L12
31	牙	Fang	"<p class=""element-item primary"">Fang</p>"	Imagine this in your mouth. It's one tooth that sticks out more than any other. It's your <radical>fang</radical>. Can you see this sticking out of a wolf mouth instead? Try that if you can't picture yourself with a fang this cool.	Radical	-	Level_31 Radical Genki_L12
51	胃	Stomach	"<p class=""element-item primary"">Stomach</p>"	This radical is the same as the kanji. It means <radical>stomach</radical>.	Radical	-	Level_51 Radical Genki_L12
12	亜	Asia	"<p class=""element-item primary"">Asia</p>"	This radical looks like a helicopter on the ground. Or a TIE fighter from above (going to the side). Either way, it's okay because you know where both helicopters and TIE fighters are made: <radical>Asia</radical>! Most aircraft are made in Asia these days, ya know?	Radical	-	Level_12 Radical Genki_L13
12	弟	Younger Brother	"<p class=""element-item primary"">Younger Brother</p>"	This radical is the same as the kanji. It means <radical>younger brother</radical>.	Radical	-	Level_12 Radical Genki_L13
13	品	Products	"<p class=""element-item primary"">Products</p>"	Three boxes are stacked up on top of each other. These are <radical>products</radical> waiting to be shipped out.	Radical	-	Level_13 Radical Genki_L13
13	尺	Shrimp	"<p class=""element-item primary"">Shrimp</p>"	This radical has a little head and some shrimpy legs sticking out of it. That's because it's a <radical>shrimp</radical>!	Radical	-	Level_13 Radical Genki_L13
13	象	Elephant	"<p class=""element-item primary"">Elephant</p>"	What animal is a sad excuse for a pig? An <radical>elephant</radical>. Imagine an elephant trying to pretend to be a pig. They're gray, not pink. And they have really long trunks, not little pig sniffers. And they're way, way bigger. Silly elephant.	Radical	-	Level_13 Radical Genki_L13
25	両	Both	"<p class=""element-item primary"">Both</p>"	This radical is the same as the kanji. It means <radical>both</radical>.	Radical	-	Level_25 Radical Genki_L13
12	予	Beforehand	"<p class=""element-item primary"">Beforehand</p>"	This radical is the same as the kanji. It means <radical>beforehand</radical>.	Radical	-	Level_12 Radical Genki_L13
31	扁	Library	"<p class=""element-item primary"">Library</p>"	There's a door over the bookcase. That makes this a <radical>library</radical>!	Radical	-	Level_31 Radical Genki_L13
15	"<i class=""radical-grass""></i>"	Grass	"<p class=""element-item primary"">Grass</p>"	Don't confuse this with triceratops. <radical>Grass</radical> is closer together, and a little bushier, like this. It's also more random and squished down in parts. If you see a bush of lines like this, it's probably going to be grass.	Radical	-	Level_15 Radical Genki_L13
32	"<i class=""radical-elf""></i>"	Elf	"<p class=""element-item primary"">Elf</p>"	You see a leaf ear, better known as an <radical>elf</radical>! Elves are just humans who have ears that are pointy like leaves.	Radical	-	Level_32 Radical Genki_L13
33	喿	Syrup	"<p class=""element-item primary"">Syrup</p>"	The products trees make? That's <radical>syrup</radical>. Delicious maple syrup, for example. Mmmm!	Radical	-	Level_33 Radical Genki_L13
23	鬼	Demon	"<p class=""element-item primary"">Demon</p>"	This is a <radical>demon</radical>. Can you see him? He has a crazy face and some tentacles holding something demonic. Try to figure out how to see a demon. But don't see him too good, cause then he'll come out of your computer and eat you.	Radical	-	Level_23 Radical Genki_L13
13	冊	Bookshelf	"<p class=""element-item primary"">Bookshelf</p>"	This looks like a bunch of books on a shelf. It's a <radical>bookshelf</radical>!	Radical	-	Level_13 Radical Genki_L14
13	央	Center	"<p class=""element-item primary"">Center</p>"	This radical is the same as the kanji. It means <radical>center</radical>.	Radical	-	Level_13 Radical Genki_L14
21	刃	Blade	"<p class=""element-item primary"">Blade</p>"	You have a sword that has a drop of something on it. That drop is a drop of blood. Sure, a sword will cut someone to spill some blood, but all you really need is any kind of <radical>blade</radical> to cut someone. Sword, knife, whatever, as long as it's a blade.	Radical	-	Level_21 Radical Genki_L14
18	昔	Long Ago	"<p class=""element-item primary"">Long Ago</p>"	This radical is the same as the kanji. It means <radical>long ago</radical>.	Radical	-	Level_18 Radical Genki_L15
17	兑	Guard	"<p class=""element-item primary"">Guard</p>"	This radical is made up of horns and older brother. But those aren't really horns, they're a part of your older brother's new <radical>guard</radical> uniform. He's a guard now, of a bank or a museum. You don't know which, but you know he stands around a lot in his uniform now.	Radical	-	Level_17 Radical Genki_L15
18	曽	Mask	"<p class=""element-item primary"">Mask</p>"	This looks kind of like a <radical>mask</radical>, right? It has horns, it has crazy eyes, and it has a big mouth. Nobody would actually look like this, which is why this is just a mask.	Radical	-	Level_18 Radical Genki_L15
37	暴	Violence	"<p class=""element-item primary"">Violence</p>"	This radical is the same as the kanji. It means <radical>violence</radical>.	Radical	-	Level_37 Radical Genki_L15
42	屋	Shop	"<p class=""element-item primary"">Shop</p>"	We already have a roof radical, so we're going to use the secondary kanji meaning for this radical. It's <radical>shop</radical>, remember?	Radical	-	Level_42 Radical Genki_L15
32	卬	Cat Pirate	"<p class=""element-item primary"">Cat Pirate</p>"	See the CP in this radical? It stands for <radical>Cat Pirate</radical>. Meoaarrrr.	Radical	-	Level_32 Radical Genki_L16
11	少	Few	"<p class=""element-item primary"">Few</p>"	This radical is the same as the kanji. It means <radical>few</radical>.	Radical	-	Level_11 Radical Genki_L16
17	吉	Good Luck	"<p class=""element-item primary"">Good Luck</p>"	This is the samurai radical on top of the mouth radical. If you get to hear what a samurai says, you'll have really <radical>good luck</radical>. Samurai are pretty hard to find nowadays, which is probably why my luck has been so bad...	Radical	-	Level_17 Radical Genki_L17
