胃	Radical				Stomach	Stomach															This radical is the same as the kanji. It means <radical>stomach</radical>.					7664	-	Lesson_51 radical
肯	Kanji	止, 月	Stop, Moon	radical, radical	Agreement, Consent	Agreement, Consent		<reading>こう</reading>	がえんじ			こう	がえんじ								We must <radical>stop</radical> the <radical>moon</radical>. That, at least, we can come to an <kanji>agreement</kanji> on.	There are a group of people pointing at pictures of the moon coming closer to earth. They are the world's leaders, and although they don't get along normally, this new attack from the moon has united them in agreement: we must stop the moon.	"""We have <kanji>agreement</kanji>,"" the world's leaders all say. ""We will work together to stop the moon, and we have <kanji>agreement</kanji> on who we will follow, Emperor <ja><reading>こう</reading>いち</ja>."	The world has united against the moon, and they have made Emperor <ja>こういち</ja> their temporary leader.		7675	-	kanji Lesson_51
脂	Kanji	月, 匕, 日	Moon, Spoon, Sun	radical, radical, radical	Fat	Fat		<reading>し</reading>	あぶら			し	あぶら								If you eat both the <radical>moon</radical> and the <radical>sun</radical> with a <radical>spoon</radical> you'll get <kanji>fat</kanji>. Maybe if you only ate one you could get away with it, but you wanted both and now you're pretty fat.	Picture yourself digging your spoon into the moon, then into the sun, and gulping them both down. Watch your stomach swell with the sun and moon fats. No going back now, gotta finish.	Once you're nice and <kanji>fat</kanji>, you look in the mirror to admire your new girth. But that's not you... it's a <reading>shee</reading>p (<ja>し</ja>)!	Oh nooo you've turned into a fat sheep! You're actually pretty adorable and round and fluffy, but you liked being a human!		7676	-	kanji Lesson_51
膚	Kanji	虍, 胃	Tiger, Stomach	radical, radical	Skin	Skin		<reading>ふ</reading>	はだ			ふ	はだ								If you look in a <radical>tiger</radical>'s <radical>stomach</radical> you'll find a bunch of <kanji>skin</kanji>. It's really gross but what else did you think you'd find? Everyone knows tigers can't digest the skin of the things it eats. 	Imagine yourself opening a tigers mouth and looking all the way down into its stomach and seeing a bunch of skin. Why would you imagine that? Eww.	The only person who would try to take <kanji>skin</kanji> from a tiger's stomach is a <reading>foo</reading>l (<ja>ふ</ja>). You'll probably get your head bitten off looking for skin that way.  	Imagine a fool trying to pull skin out of a tiger's stomach. You can imagine them getting their skin added to the pile too if you want.		7677	-	kanji Lesson_51
軒	Kanji	車, 干	Car, Dry	radical, radical	House Counter, Eaves	House Counter, Eaves		<reading>けん</reading>	のき			けん	のき								Your <radical>car</radical> is <radical>dry</radical> because you kept it under the <kanji>eaves</kanji> of your house.   This kanji has a second meaning too: <kanji>house counter</kanji>. Imagine counting all the houses on your block by the number of eaves you see keeping cars dry.	One eave, one house. Two eaves, two houses.	On top of the <kanji>eaves</kanji> of your house <reading>Ken</reading> (<ja>けん</ja>) the samurai is counting houses too.	Ken hops down and explains that he's been hired to count all the houses in his lord's domain just because his name is the same as the counter for houses. It isn't really fair, he complains to you, as you try to sneak by and lock him out of your house.		7678	-	kanji Lesson_51
軟	Kanji	車, 欠	Car, Lack	radical, radical	Soft	Soft		<reading>なん</reading>	やわ			なん	やわ								A <radical>car</radical> that's <radical>lack</radical>ing is really <kanji>soft</kanji>. Cars need to be hard so that things like bugs and other cars wont hurt the people inside when you hit them. But if your car is lacking the hardness it needs, you'll have a really soft, useless car.	Picture a soft car lacking what it needs to drive down the road. It's so soft it just flops down and won't move.	This car is probably so <kanji>soft</kanji> because it's made entirely of <reading>naan</reading> (<ja>なん</ja>). Naan may be delicious, but it makes a really crappy car. No wonder it was so soft (and yummy).	Picture trying to drive this soft naan car. It probably just sinks into the ground and then gets eaten by wild animals (and me).		7679	-	kanji Lesson_51
郊	Kanji	交, 阝	Mix, Building	radical, radical	Suburbs	Suburbs		<reading>こう</reading>				こう									If you <radical>mix</radical> a bunch of <radical>building</radical>s together, you have yourself a <kanji>suburb</kanji>.	Isn't that all a suburb is? Just a mix of a variety of buildings in one area?	"""<kanji>Suburb</kanji>s are what we need!"" says Emperor <ja><reading>こう</reading>いち</ja>. "	"""That suburb life will encourage more people to study kanji,"" Emperor <ja>こういち</ja> continues."		7680	-	kanji Lesson_51
隅	Kanji	阝, 禺	Building, Splinter	radical, radical	Corner	Corner		ぐう	<reading>すみ</reading>			すみ	ぐう								So my <radical>building</radical> has a big <radical>splinter</radical>, right in the <kanji>corner</kanji>. So what?	Imagine a huge splinter coming out of the corner of the building. It's in a really dangerous spot, but the owner doesn't seem so worried about it.	That <kanji>corner</kanji> is dangerous, but what are you going to do, <reading>sue me</reading> (<ja>すみ</ja>)?	Actually, please don't sue me. I'll fix the splinter coming out of the corner of my building.		7681	-	kanji Lesson_51
隻	Kanji	隹, 又	Turkey, Stool	radical, radical	Ship Counter	Ship Counter		<reading>せき</reading>				せき									A <radical>turkey</radical> sitting on a <radical>stool</radical> is something every ship has in its crow's nest. That's why the universal <kanji>ship counter</kanji> is a turkey on a stool. Not a crow.	Picture yourself counting ships by pointing your finger from one turkey propped up on a stool to the next. You'll be the best ship counter in the world at this rate!	Once you become the best <kanji>ship counter</kanji> in the world everyone will think you are super <reading>sexy</reading> (<ja>せき</ja>)! Nothing is sexier than being able to count, and counting ships is the sexiest thing you can count.	Imagine yourself, a sexy ship counter. Sexily counting ships. You go guy/girl/non binary person! So sexy!		7682	-	kanji Lesson_51
邸	Kanji	氏, 一, 阝	Clan, Ground, Building	radical, radical, radical	Residence	Residence		<reading>てい</reading>	やしき			てい	やしき								Your <radical>clan</radical> is breaking <radical>ground</radical> and <radical>building</radical> your new <kanji>residence</kanji>. You're all working together to make you a new home!	Picture your clan, working together, to build a new residence for you on their land.	Your new <kanji>residence</kanji> is complete! You step closer and the smell of <reading>ta</reading>ter (<ja>てい</ja>) tots hits your nose. Someone is making you tater tots in your new residence. Wait, no they aren't. Your residence is MADE of tater tots! Thank you, clan!	Imagine living in a tater tot residence. Whenever you're hungry, you just lean over to the wall and munch.		7683	-	kanji Lesson_51
郡	Kanji	君, 阝	Buddy, Building	radical, radical	County, District	County, District		<reading>ぐん</reading>	こおり			ぐん	こおり								The <radical>buddy</radical> <radical>building</radical> is in the next <kanji>county</kanji>. If it was in your county then it wouldn't be a buddy, it would be a neighbor. You're aware of this building, but they aren't that close, so they're just a buddy.	Imagine looking at a map of your county and the surrounding ones. All of the buildings in the counties next to yours are buddy buildings!	Your <kanji>county</kanji> is everything you can reach when shooting a <reading>gun</reading> (<ja>ぐん</ja>). If the bullet can't reach a building you know, it's a buddy building in another county.	Imagine taking out a gun and shooting in a random direction. When you find where the bullet landed, you know that's the county line. Though if it gets stuck in a building or a person it doesn't count. You'll have to try again.		7684	-	kanji Lesson_51
釈	Kanji	釆, 尺	Sickle, Shrimp	radical, radical	Explanation	Explanation		<reading>しゃく</reading> <reading>せき</reading>	す とく ゆる			しゃく, せき	す, とく, ゆる								Kill a <radical>shrimp</radical> with a <radical>sickle</radical> and you'll need a really good <kanji>explanation</kanji> for yourself. What did that shrimp do to you? Why use a sickle? Well? What's your explanation?	Try to come with an explanation for picking up a sickle and cutting the head off a shrimp with it.	In your <kanji>explanation</kanji> you blame everything on <reading>Shaq</reading> (<ja>しゃく</ja>). He told you to do it! It's all Shaq's fault, you explain. 	Picture Shaq popping into your head as you struggle to come up with an explanation for me. Picture Shaq's face. This is payback for Shaq Fu, you think, as you finalize the rest of the explanation in your mind.		7685	-	kanji Lesson_51
肪	Kanji	月, 方	Moon, Direction	radical, radical	Obese, Fat	Obese, Fat		<reading>ぼう</reading>				ぼう									When the <radical>moon</radical> faces the right <radical>direction</radical>, everyone on earth becomes <kanji>obese</kanji>. The pull of the moon moves all the water on earth as well as inside us, so when it faces the right way, we all get super <kanji>fat</kanji>.	Picture the moon turning to face a different direction. Feel your body start to become really obese. You get huge and round just like the moon.	You look around and everyone is <kanji>obese</kanji> like you. You try to reach out to them, but you roll over like a big <reading>bow</reading>ling (<ja>ぼう</ja>) ball. The person next to you does too. Soon you're all rolling around like helpless, obese bowling balls.	Picture yourself, as obese and round as a bowling ball, rolling faster and faster down hills. Other people are rolling around you too. You're all screaming. You want the moon to face the other direction so it will stop. You don't like being a human bowling ball!		7686	-	kanji Lesson_51
喚	Kanji	口, 勹, 儿, 大	Mouth, Prison, Legs, Big	radical, radical, radical, radical	Scream, Yell	Scream, Yell		<reading>かん</reading>	わめ			かん	わめ								You wake up in <radical>prison</radical> and there is a <radical>big</radical> <radical>mouth</radical> full of <radical>legs</radical> coming really, really close to your own <radical>mouth</radical> so you <kanji>scream</kanji>! Scream because this is terrifying. Scream because it's all you can think to do.	Imagine a prison where horrible mouth leg creatures are trying to get in your mouth. You don't want to scream because they might get in there, but you can't help it.	You <kanji>scream</kanji> and scream and scream until a door bursts open. It's Genghis <reading>Khan</reading> (<ja>かん</ja>) and he looks mad. Apparently your screaming is bothering him and now he's gonna give you a real reason to scream.	Imagine Genghis Khan doing something to make you scream. What is it? What could Genghis Khan do that's worse than what's already happening to you?		7687	-	kanji Lesson_51
媛	Kanji	女, 爰	Woman, Football	radical, radical	Princess, Beautiful Woman	Princess, Beautiful Woman		えん	<reading>ひめ</reading>			ひめ	えん								Everyone knows that when a <radical>woman</radical> plays <radical>football</radical> she becomes a <kanji>princess</kanji>. Thats how princesses are made.	Picture the awesome princess, kicking butt and taking names, out on the football field.	Remember the word <ja>姫</ja>? It means <kanji>princess</kanji> too. If you remember the <ja>ひめ</ja> from <ja>姫</ja>, you'll be able to remember this one too.	Make sure you know both princess words and you'll know their readings too.		7688	-	kanji Lesson_51
貞	Kanji	ト, 貝	Toe, Shellfish	radical, radical	Chastity	Chastity		<reading>てい</reading>	さだ			てい	さだ								You try to put your <radical>toe</radical> inside a <radical>shellfish</radical>, but it just won't open. That's because this shellfish has sworn an oath of <kanji>chastity</kanji>.	"""No, I won't open up until I meet the toe I will marry,"" it says to you."	"""<kanji>Chastity</kanji> is really important to me,"" the shellfish says. ""But, maybe if you give me a <reading>ta</reading>ter (<ja>てい</ja>) tot, I'll change my mind."""	You give the shellfish a tater tot, and it breaks its vow of chastity, opening up for your toe. You look the other way, but you can hear the sounds of passion below.		7689	-	kanji Lesson_51
玄	Kanji	玄	Mysterious	radical	Mysterious	Mysterious		<reading>げん</reading>	くろ			げん	くろ								The <radical>mysterious</radical> radical and the <kanji>mysterious</kanji> kanji are the same!	Know your radicals, yo!	There is no one more <kanji>mysterious</kanji> than <reading>Gen</reading>ji (<ja>げん</ja>). He's tall, dark, handsome, and most of all... <ja>〜</ja>mysterious<ja>〜</ja>!	Who's the mysterious man who's always reciting poetry? Genji! Who's the mysterious man who gets all the ladies? Genji! Who's the mysterious man crying over there because someone turned him down? G... Genji...		7690	-	kanji Lesson_51
苗	Kanji	艹, 田	Flowers, Rice Paddy	radical, radical	Seedling, Sapling	Seedling, Sapling		<reading>みょう</reading> <reading>びょう</reading>	なえ なわ			みょう, びょう	なえ, なわ								<radical>Flowers</radical> that grow in a <radical>rice paddy</radical> only live to be <kanji>seedling</kanji>s. Once they sprout, they're plucked away to make room for more rice. Poor little seedlings.	Picture the seedlings growing among the rice plants. Once they bloom they'll be picked, so let's hope they stay small as long as they can.	The <kanji>seedling</kanji>s try their best to blend in by referring to themselves as <reading>myou</reading> (<ja>みょう</ja>), you know, me and you combined. That's myou.	Listen to the little seedlings say myou over and over. Too bad the farmers can tell they aren't rice plants. 		7691	-	kanji Lesson_51
渦	Kanji	氵, 冋	Tsunami, Mustache	radical, radical	Whirlpool	Whirlpool		<reading>か</reading>	うず			か	うず								If you put two <radical>mustache</radical>s on either side of a <radical>tsunami</radical> it won't know which way to go and spin back and forth until it becomes as <kanji>whirlpool</kanji>. Mustaches are pretty gross, so I don't blame the tsunami for avoiding them.	Picture the tsunami spinning in a circle, trying not to hit the mustaches until it spins itself into a giant whirlpool.	The <kanji>whirlpool</kanji> is huge, and it starts pulling things into itself. Oh no, is that my <reading>ca</reading>r (<ja>か</ja>)? Hey, wait! Whirlpool give my car back!	Picture my car getting sucked into the whirlpool. Picture me crying as my car disappears into it forever.		7692	-	kanji Lesson_51
慈	Kanji	<i class=radical-horns></i>, 一, 幺, 心	Horns, Ground, Poop, Heart	radical, radical, radical, radical	Mercy	Mercy		<reading>じ</reading>	いつく			じ	いつく								"A person with <radical>horns</radical> has you on the <radical>ground</radical> and lets loose two <radical>poops</radical> over your <radical>heart</radical>. ""<kanji>Mercy</kanji>! Mercy!"" You cry, but the horned dude doesn't stop until there are two gross poops sitting on your heart. ""M-mercy..."" is the only thing you can think to say."	"Imagine yourself saying ""mercy"" over an over as this horned guy has you on the ground and keeps pooping over your heart. "	"As you shout ""<kanji>Mercy</kanji>!"" one more time, suddenly <reading>Je</reading>sus (<ja>じ</ja>) appears out of no where and punches the horned guy into the stratosphere. Jesus snaps his fingers and the poop is gone and you're off the ground. Your heart is safe."	"Imagine yourself saying mercy and seeing Jesus appearing just in time to save the day. The word ""mercy"" must be his bat signal. Jesus signal? Sure."		7693	-	kanji Lesson_51
襟	Kanji	ネ, 木, 示	Spirit, Tree, Jackhammer	radical, radical, radical	Collar	Collar		きん	<reading>えり</reading>			えり	きん								The <radical>spirit</radical>s of the two <radical>tree</radical>s you destroyed with your <radical>jackhammer</radical> live on in the <kanji>collar</kanji> you made out of them.	You took the shredding tree bits and carefully molded them into a nice collar to go with all of your shirts. But now it's haunted.	"The <kanji>collar</kanji> keeps whispering, ""<reading>Eri</reading>c (<ja>えり</ja>)!"" into your ear. Your name isn't Eric (I mean it could be, in that case wow, weird, right?), so you assume one of the trees you killed was named Eric. But that's the only name you hear, so maybe they were both named Eric? It's weird."	"Whenever you put on your collar you hear a constant stream of, ""Eric, pssst, hey Eric, hey!"" and you just have to pretend it isn't happening."		7694	-	kanji Lesson_51
蓮	Kanji	艹, 車, ⻌	Flowers, Car, Scooter	radical, radical, radical	Lotus	Lotus		<reading>れん</reading>	はす はちす			れん	はす, はちす								You put <radical>flowers</radical> on your <radical>scooter</radical> and your <radical>car</radical>. The flowers you put on them are <kanji>lotus</kanji> flowers.	Imagine placing lotuses on top of your scooter and car. They are the right kind of flowers for these vehicles.	You're putting a <kanji>lotus</kanji> on both your scooter and car because they are <reading>ren</reading>tals (<ja>れん</ja>).	You always put a lotus on top of your rental cars and scooters. Come up with a personal reason why you do this.		7695	-	kanji Lesson_51
亮	Kanji	亠, 口, 冖, 儿	Lid, Mouth, Forehead, Legs	radical, radical, radical, radical	Clear	Clear		<reading>りょう</reading>	あきらか			りょう	あきらか								There is a special type of meditation where you put a <radical>lid</radical> on your <radical>mouth</radical> and touch your <radical>forehead</radical> down to your <radical>legs</radical>. If you can do this pose, everything in life will become completely <kanji>clear</kanji>. Everything will clear out of your head too. You should try it.	Imagine this pose, imagine everything becoming clear. Clear your mind. Clear your head.	Your mind is as <kanji>clear</kanji> as a sparkling clear pond. On this pond you see yourself in a <reading>row</reading> (<ja>りょう</ja>) boat. A single row boat on the clear pond that is now your mind.	Picture the row boat on the clear pond in your mind. Watch the clear water flow over the row boat's oars. 		7696	-	kanji Lesson_51
聡	Kanji	耳, 公, 心	Ear, Public, Heart	radical, radical, radical	Wise	Wise		<reading>そう</reading>	さと みみざと			そう	さと, みみざと								If you have an <radical>ear</radical> for the <radical>public</radical>'s <radical>heart</radical>, you must be very <kanji>wise</kanji>. You can understand everything the people want, and you know how to give it to them because you listen to their hearts so well.	Close your eyes and open your ears. Feel all of the wise things fill you.	All of these <kanji>wise</kanji> things are stored in your <reading>sou</reading>l (<ja>そう</ja>), not your brain. That's where all of these kinds of intuitive feelings live.	Picture your wise soul, living inside your body. Somehow it just seems to know what the public really wants. It's like your soul is connected to their souls, granting you this wisdom.		7697	-	kanji Lesson_51
浦	Kanji	氵, 甫	Tsunami, Wedding	radical, radical	Bay	Bay		ほ	<reading>うら</reading>			うら	ほ								If you want to have a <radical>tsunami</radical> at your <radical>wedding</radical>, you need to make sure you have it at the <kanji>bay</kanji>. Anywhere more inland, and the tsunami won't reach it in time.	Picture the tsunami coming towards your beautiful wedding as you stand by the bay. It's not safe, but it's memorable!	How did you get a tsunami to show up in the <kanji>bay</kanji> in the first place? By throwing a bunch of <reading>ura</reading>nium (<ja>うら</ja>) in there, of course! Its highly unstable nature can make any body of water, especially a calm bay, turn violent.	Imagine throwing buckets of uranium into the bay. It only burns your hands a little. And now they glow green, just like the bay does!		7698	-	kanji Lesson_51
塚	Kanji	土, 冖, 豕	Dirt, Forehead, Pig	radical, radical, radical	Mound	Mound		ちょう	<reading>つか</reading>			つか	ちょう								The <radical>dirt</radical> on the <radical>forehead</radical> of a <radical>pig</radical> makes a small <kanji>mound</kanji>. Picture it, if you will. A pig is rooting through the dirt. It lifts its head and there is a mound of dirt right on its forehead.	Imagine that you're the pig. How big can you make your forehead dirt mound?	The pig's forehead dirt <kanji>mound</kanji> keeps getting bigger until it's the size of <reading>two cars</reading> (<ja>つか</ja>)! Pigs are big, but you didn't think one could balance a mound the size of two cars on its forehead and not fall over.	Picture a pig with a mound of dirt the size of two cars leisurely stomping around on a farm.		7699	-	kanji Lesson_51
偉人	Vocabulary	偉, 人	Greatness, Person	kanji, kanji	Great Person, Great Man, Hero	Great Person, Great Man, Hero					<reading>いじん</reading>	いじん		Noun	世界の偉人たちの名言を集めました。	I’ve collected wise sayings from great men of the world.					A <kanji>person</kanji> with a lot of <kanji>greatness</kanji> is a <vocabulary>great person</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37820-subject-7783.mp3][sound:17907-subject-7783.mp3]	7700	-	Lesson_51 Vocabulary
偉大	Vocabulary	偉, 大	Greatness, Big	kanji, kanji	Greatness, Grand, Outstanding	Greatness, Grand, Outstanding					<reading>いだい</reading>	いだい		Noun, な Adjective	人類史上最も偉大な発明は何ですか。	What is the greatest invention in all of human history?					<kanji>Big</kanji> <kanji>greatness</kanji> is still <vocabulary>greatness</vocabulary>, just a lot of it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37824-subject-7784.mp3][sound:17923-subject-7784.mp3]	7701	-	Lesson_51 Vocabulary
偉い	Vocabulary	偉	Greatness	kanji	Great, Excellent, Admirable, Remarkable	Great, Excellent, Admirable, Remarkable					<reading>えらい</reading>	えらい		い Adjective	社長がそんなに偉いんですか？	What makes the company president so great?					This is a single kanji with an <ja>い</ja> on the end, meaning you know it's probably an adjective. What's the adjective form of <kanji>greatness</kanji>? <vocabulary>Great</vocabulary>! 		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   The only thing a <vocabulary>great</vocabulary> person doesn't do is make <reading>error</reading>s (<ja>えら</ja>). That's what makes them so great. They can always sense when an error is about to happen and they correct it before it even has a chance!		[sound:37927-subject-7785.mp3][sound:18036-subject-7785.mp3]	7702	-	Lesson_51 Vocabulary
勘定	Vocabulary	勘, 定	Intuition, Determine	kanji, kanji	Calculation, Counting, Allowance, Payment, Bill, Check	Calculation, Counting, Allowance, Payment, Bill, Check					<reading>かんじょう</reading>	かんじょう		Noun, する Verb	お勘定をお願いします。	Can I have the check, please?					When you use your <kanji>intuition</kanji> to <kanji>determine</kanji> the amount of something, you'll end up doing the <vocabulary>calculations</vocabulary> in your head. You do the same thing when it's time to pay your <vocabulary>bill</vocabulary> at dinner too, just determine the amount in your head, go with your intuition, and it should be the right amount.		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>定</ja> though, so here's a mnemonic to help you:  If you're having trouble with the <vocabulary>calculation</vocabulary> of the amount on your <vocabulary>bill</vocabulary>, just call <reading>Jo</reading>seph (<ja>じょう</ja>) Stalin. He's really great at numbers and he will be able to figure out the numbers in his head really fast.		[sound:37935-subject-7786.mp3][sound:18056-subject-7786.mp3]	7703	-	Lesson_51 Vocabulary
