Level	Symbol	Meaning	Radical Component Name	Radical Component Symbol	Meaning Mnemonic	Reading Onyomi	Reading Kunyomi	Reading Nanori	Reading Whitelist	Reading Mnemonic
57	賊	Robber	Shellfish,Drunkard,Cross	貝,戈,十	"When a <radical>shellfish</radical> becomes a <radical>drunkard</radical> and sees a <radical>cross</radical>, they'll become a <kanji>robber</kanji>. Because they'll steal the cross!<br><br>

- Hint: Some people make really bad choices when they're drunk, and in this case, when a shellfish gets drunk and sees something it wants it'll just rob people for it."	<reading><jp>ぞく</jp></reading>	None	None	ぞく	"Once the shellfish has a taste for being a <kanji>robber</kanji>, he'll join a Boso<reading>zoku</reading> (<jp>ぞく</jp>) bike gang so he can keep stealing more and more crosses. He'll drink more, steal more, and get to ride cool motorcycles.<br><br>

- Hint: Picture a robber shellfish in a Bosozoku bike gang. Look at him the wrong way and he and his gang will steal all your stuff next time!"
56	柴	Brushwood,Firewood	Stop,Spoon,Tree	止,匕,木	"If you could <radical>stop</radical> <radical>spoon</radical>ing water onto that <radical>tree</radical> we could use it for <kanji>brushwood</kanji>. But if you don't stop, then it will be too wet to burn at all! Stop already!<br><br>

- Hint: We need to use that brushwood to make a fire! So stop spooning water on it!"	<jp>さい, し</jp>	<reading><jp>しば</jp></reading>	None	しば	"You finally set the <kanji>brushwood</kanji> on fire and suddenly a <reading>Shiba</reading> (<jp>しば</jp>) Inu jumps out of the flames. So that's why they named this wood after them or... or vice versa?<br><br>

- Hint: Shiba inu's come from setting brushwood on fire! That must have been how they got their name!"
56	尉	Military Officer,Military Rank	Flag,Jackhammer,Measurement	尸,示,寸	"Who loves their <radical>flag</radical>, using <radical>jackhammer</radical>s, and precise <radical>measurement</radical>s? Your <kanji>military officer</kanji>! He's always saluting the flag, jackhammering near all the new recruits to test them, and checking the measurement between the floor and their pants. Who else could it be?<br><br>

- Hint: Picture a military officer doing all those things."	<reading><jp>い, じょう</jp></reading>	None	None	い, じょう	"That <kanji>military officer</kanji>'s favorite bird is an <reading>ea</reading>gle (<jp>い</jp>)! That should be obvious because the eagle is the bird of America! And that's the country he fights for!<br><br>

- Hint: Picture the military officer saluting as an eagle flies overhead. Majestic."
56	碑	Tombstone	Stone,Drop,Rice Paddy,Cross	石,丶,田,十	"A <radical>stone</radical> <radical>drop</radical>s from the sky into a <radical>rice paddy</radical> and then a <radical>cross</radical> <radical>drop</radical>s on top of it. They've combined to form a <kanji>tombstone</kanji>! Wait, does that mean a body fell from the sky first and you just didn't see it?<br><br>

- Hint: Imagine seeing a stone and a cross drop from the sky onto each other to form a tombstone right in front of your eyes!"	<reading><jp>ひ</jp></reading>	<jp>いしぶみ</jp>	None	ひ	"Now you're curious about what's under there but when you try to touch the <kanji>tombstone</kanji> it's radiating with intense <reading>he</reading>at (<jp>ひ</jp>)! It must have come from outer space and this heat is from when it entered our atmosphere!<br><br>

- Hint: Can you feel the heat radiating off this space tombstone? Maybe there's a space skeleton sizzling under there too..."
56	庸	Common	Canopy,Brush,Task	广,聿,用	"Under this <radical>canopy</radical> you have a <radical>brush</radical> and a <radical>task</radical> to complete with it. This is totally <kanji>common</kanji>. <br><br>

- Hint: This type of thing is common for almost every class or job you'll ever have. They sit you down under the canopy, put a brush in your hand, and say, ""Here complete this task. I'll be over there."""	<reading><jp>よう</jp></reading>	None	None	よう	"This is so <kanji>common</kanji> and familiar to you that you finish your task early and eat some <reading>yo</reading>gurt (<jp>よう</jp>) while you wait for the guy to come back.<br><br>

- Hint: As you eat the yogurt you think about how common yogurt is too. It's just a normal food, common in everyone's fridge."
56	飽	Bored,Sated	Eat,Wrap	食,包	"You <radical>eat</radical> and then <radical>wrap</radical> yourself into a ball because you're <kanji>bored</kanji>. You're also <kanji>sated</kanji>, because you ate just the right amount, but now you have nothing to do and it's soooo booooring.<br><br>

- Hint: Haven't you ever been so bored that you just wrapped yourself up into a boredom ball?"	<reading><jp>ほう</jp></reading>	<jp>あ</jp>	None	ほう	"So now you're <kanji>bored</kanji> and stuck at <reading>ho</reading>me (<jp>ほう</jp>). You aren't hungry. There's nothing on TV. And you don't want to have to leave your home to do something, even though that would probably solve your boredom problem.<br><br>

- Hint: Ehhhhhhgggg guys I'm stuck at home and I'm soooo bored. Heeelpp!"
56	窒	Suffocate	Hole,Mole	穴,至	"Take a <radical>mole</radical> out of its <radical>hole</radical> and it will <kanji>suffocate</kanji>. They need to be in tight quarters, unlike us humans. So when you take one out of its nice, safe hole, it thinks it can't breathe and suffocates.<br><br>

- Hint: Picture a poor little mole suffocating in your hand after you took it out of its hole. Put it back right away! Don't kill that little mole!"	<reading><jp>ちつ</jp></reading>	None	None	ちつ	"As the mole <kanji>suffocate</kanji>s it <reading>cheats</reading> (<jp>ちつ</jp>) and shoves its head into your closed hand. You realize what it's doing and squeeze your hand tighter so it's more like a hole. You can feel the mole breathing again now.<br><br>

- Hint: Unfortunately, you can't use cheats on life, and the mole suddenly stiffens and suffocates to death anyway. You should feel bad about what you've done."
56	弦	Chord,Bowstring	Bow,Mysterious	弓,玄	"The <radical>mysterious</radical> sound that comes from a <radical>bow</radical>string when you pluck it is called a <kanji>chord</kanji>. It's still a <kanji>bowstring</kanji> though. You need strings to make chords, after all.<br><br>

- Hint: Every time you touch a bowstring, listen to the chords it plays."	<reading><jp>げん</jp></reading>	<jp>つる</jp>	None	げん	"The <kanji>chord</kanji> you're hearing right now is being played by <reading>Gen</reading>ji (<jp>げん</jp>). He's sitting under your window plucking bowstrings and singing.<br><br>

- Hint: GASP! Genji is finally singing chords of love to you! Your dreams have come true and the most handsome, romantic man ever is finally yours!"
56	舶	Ship	Boat,White	舟,白	"A <radical>boat</radical> that's <radical>white</radical> isn't just a boat, it's a <kanji>ship</kanji>.<br><br>

- Hint: Boats don't need to be a bright white color. But, ships do! They're dangerous and big, so they paint them nice and white."	<reading><jp>はく</jp></reading>	None	None	はく	"A white-painted <kanji>ship</kanji> is a kind of <reading>hack</reading> (<jp>はく</jp>). It makes the ship more visible without costing much.<br><br>

- Hint: You can also imagine hacking the ship's computer. ""Look at me, look at me. You are the hacker now."""
56	恭	Respect	Together,Small,Drop	共,小,丶	"When <radical>small</radical> <radical>drop</radical>s of water work <radical>together</radical> they gain <kanji>respect</kanji> for one another. If you end up working with someone long enough, and they end up being really great, you'll respect them too! <br><br>

- Hint: Imagine being a small drop of water and seeing other drops of water come to help you by working together. You'd really respect them, right?"	<jp>きょう</jp>	<reading><jp>うやうや</jp></reading>	None	うやうや	"If you <kanji>respect</kanji> someone enough you'll even take up their hobbies. The person you respect most loves the Yankees. You don't really feel the same, but you respect that about them so you chant, ""<reading>Ooh Ya</reading>nkees, <reading>Ooh Ya</reading>nkees <jp>うやうや</jp> with them during each game.<br><br>

- Hint: Imagine respecting someone so much that you'll cheer ooh yankees over and over even though they're kind of a crappy team. "
56	縫	Sew	Thread,Scooter,Signpost	"糸,<i class=""radical-scooter""></i>,夆"	"You take some <radical>thread</radical>, put your <radical>scooter</radical> up to a <radical>signpost</radical>, and <kanji>sew</kanji> them together. You don't have a lock, so sewing your scooter up to the signpost to keep it safe is all you can think of.<br><br>

- Hint: Imagine slowly sewing your scooter to the signpost, passing the thread back and forth through the signpost's metal holes and your scooter's handles."	<reading><jp>ほう</jp></reading>	<jp>ぬ</jp>	None	ほう	"You usually only <kanji>sew</kanji> at <reading>ho</reading>me (<jp>ほう</jp>), so this is a big exception for you. You're usually worried that if you sew in public people will judge your stitches, so this is a big step for you!<br><br>

- Hint: Hopefully, if your scooter is still here later you'll be able to start sewing outside of your home more often from now on!"
56	猶	Still,Yet	Animal,Horns,Alcohol	"犭,<i class=""radical-horns""></i>,酉"	"An <radical>animal</radical> with <radical>horns</radical> is drinking our <radical>alcohol</radical>? <kanji>Still</kanji>?<br><br>

- Hint: You keep checking outside to see if they have stopped, but they are still drinking. They haven't stopped yet."	<reading><jp>ゆう, ゆ</jp></reading>	<jp>なお</jp>	None	ゆう, ゆ	"The animal with horns that is <kanji>still</kanji> drinking your alcohol is no animal at all. It is actually one of the local <reading>you</reading>ths (<jp>ゆう</jp>) dressed up like a horned animal so they can drink as long as they want and you'll be too scared to shoo them away.<br><br>

- Hint: You keep checking, but that youth is still drinking. Of course, you don't know they are a youth, so it's quite impressive an animal can drink this much."
56	拍	Beat	Fingers,White	扌,白	"You're tapping your <radical>fingers</radical> against a <radical>white</radical> wall when you realize the sound you're making is actually a sick <kanji>beat</kanji>. You keep going and start singing along. Boo boo boop. Boo do do do doop! Finger beats!<br><br>

- Hint: Imagine yourself in a completely white room. All you have is the white walls, your fingers, and your beats. When you stop all you're left with is white noise. Yuck! Keep those beats coming!"	<reading><jp>はく, ひょう</jp></reading>	None	None	はく, ひょう	"This <kanji>beat</kanji> is sick, but as you tap you realize you're <reading>hack</reading>ing (<jp>はく</jp>) up the wall! Slowly but surely, your fingers are hacking out little bits of the wall. And the beats don't sound as good until you move to a new, clean white area.<br><br>

- Hint: Imagine hacking the wall apart as you try to keep this beat going. The music is all you have, man! You can't lose the beat now!"
55	龍	Imperial,Dragon	Imperial	龍	"The <radical>imperial</radical> radical and the <kanji>imperial</kanji> kanji are exactly the same! Wahoo!<br><br>

- Hint: Make sure you remember this radical means imperial and you'll remember the kanji meaning too!"	<reading><jp>りゅう, りょう, ろう</jp></reading>	<jp>たつ</jp>	None	りゅう, りょう, ろう	"Who is the coolest <kanji>imperial</kanji> you know? <reading>Ryu</reading> (<jp>りゅう</jp>) from Street Fighter. Wait what? You mean he FIGHTS imperials? Oh, okay. Looks like Ryu is the coolest imperial FIGHTER you know!<br><br>

- Hint: Picture Ryu kicking the butts of imperial  scum like Bison and Darth Vader. "
55	之	This	Drop,Hills	"丶,<i class=""radical-hills""></i>"	"How do you make a mnemonic for the word this? You don’t. But, we can try. You climb many <radical>hill</radical>s. On top of one of the hills is a little <radical>drop</radical> of water. You pick it up and say “<kanji>THIS</kanji>… THIS IS WHAT I WAS LOOKING FOR!”<br><br>

- Hint: As you look at the drop of water, you note that you found the right thing. Written on it is the word “this."""	<jp>し</jp>	<reading><jp>これ, の</jp></reading>	None	これ, の	"<kanji>This</kanji> particular drop of water hold the <reading>core</reading> (<jp>これ</jp>) of the universe. If you didn't find this very droplet, we all would have died and this universe would be gone.<br><br>

- Hint: The core of the universe is in this drop of water. Or is it in this mnemonic? Ooohhhhh you'll never knoooowwww!"
55	栓	Cork,Plug	Tree,Hat,King	"木,<i class=""radical-hat""></i>,王"	"The <radical>king</radical> has a <radical>hat</radical> that's made from a <radical>tree</radical> but the more you look at it, the more it looks like it's just a big <kanji>cork</kanji>. It's a big, wooden <kanji>plug</kanji> that he's just placed on his head. It can hardly be called a hat.<br><br>

- Hint: Picture how silly the king looks with this cork on his head. He kind of looks like a fat, plugged up bottle of wine when he yells now."	<reading><jp>せん</jp></reading>	None	None	せん	"It turned out this <kanji>cork</kanji> hat was given to him by a <reading>cen</reading>taur (<jp>せん</jp>). You look into it and it turned out it IS a really big cork that centaurs use on their big wine casks. But the king didn't understand, and thought it was a hat. The centaurs are probably still laughing.<br><br>

- Hint: Picture the centaurs drinking and giggling, putting the cork from their wine on their head to imitate the stupid king."
55	愉	Pleasant	Soul,Death Star	"忄,<i class=""radical-death-star""></i>"	"The <radical>soul</radical> of the <radical>Death Star</radical> is actually quite <kanji>pleasant</kanji>. And if you think about it, it's the people who control the Death Star that are evil and kill.<br><br>

- Hint: Picture the Death Star in your mind. As you picture it, its pleasant, smiling soul floats up and out of it. ""Oh hello, dear,"" it says happily, ""Didn't see you there!"""	<reading><jp>ゆ</jp></reading>	<jp>たの</jp>	None	ゆ	"The <kanji>pleasant</kanji> soul within the Death Star actually looks like a <reading>yu</reading>rt (<jp>ゆ</jp>), not a big angry, metal ball.<br><br>

- Hint: Yurts are very pleasant structures. They're round and soft and moveable, just like the Death Star's soul."
55	旦	Dawn	Dawn	旦	"The <radical>dawn</radical> radical and the <kanji>dawn</kanji> kanji are the same!<br><br>

- Hint: Know your radicals, yo!"	<reading><jp>たん, だん</jp></reading>	<jp>あきら, あき, あさ, あした, ただし</jp>	None	たん, だん	"<kanji>Dawn</kanji> is <reading>dawn</reading> (<jp>だん</jp>)! It's also a great time to get a <reading>tan</reading> (<jp>たん</jp>). The sun is bright at dawn, but not so much that it will send skin cancer rays into you.<br><br>

- Hint: Imagine getting a tan at dawn. Ahh. Relaxing and warm."
55	粗	Coarse,Rough	Rice,Top Hat	米,且	"If you find some <radical>rice</radical> in a <radical>top hat</radical> it's going to be really <kanji>coarse</kanji> and <kanji>rough</kanji>. Probably because it's not the kind that's meant to be eaten.<br><br>

- Hint: Imagine trying to eat the rice you found in a top hat. It's so coarse it feels like it's scratching your teeth. There's probably some dirt in here too. This wasn't the best idea."	<reading><jp>そ</jp></reading>	<jp>あら</jp>	None	そ	"You take the <kanji>coarse</kanji> rice and try to wash it with <reading>so</reading>ap (<jp>そ</jp>).<br><br>

- Hint: If you were trying to make this coarse rice taste like soap, you did it. But if you were trying to make it less coarse, well... sorry, but that's not how anything works."
55	憾	Remorse,Regret	Soul,Feeling	忄,感	"The only <radical>feeling</radical> a dead <radical>soul</radical> will have is <kanji>remorse</kanji>. Remorse for the people it left behind. <kanji>Regret</kanji>s for the things it did and didn't do.<br><br>

- Hint: If you died right now and left your soul behind, do you think you'd have regrets?"	<reading><jp>かん</jp></reading>	<jp>うら</jp>	None	かん	"The soul with the most <kanji>regret</kanji>s is Genghis <reading>Khan</reading> (<jp>かん</jp>). Everyone knows to stay away from him in the spirit world because he's so sad. Not because of his own actions, but because of the state of his people now.<br><br>

- Hint: Picture Genghis Khan looking down at the state of his people, the Mongols, in the modern world. See the remorse in his soul's face. They should be leaders of the modern world. Not reduced to a people struggling in the background."
55	累	Accumulate	Rice Paddy,Thread	田,糸	"You start growing <radical>thread</radical> in your <radical>rice paddy</radical> to <kanji>accumulate</kanji> more. You didn't want to have to buy any, so you're just trying to grow thread with your rice. That seems like a good way to accumulate more to you.<br><br>

- Hint: Just imagine how much thread you'll accumulate if you can just grow it along with your rice in the rice paddy! So much thread!"	<reading><jp>るい</jp></reading>	None	None	るい	"Sadly, this is a terrible way to <kanji>accumulate</kanji> anything thread related and you ended up <reading>rui</reading>ning (<jp>るい</jp>) your rice paddy too. I guess if you want to accumulate thread this isn't the way to do it.<br><br>

- Hint: Your attempts to accumulate more of something by cheating have brought ruin to everything else you were doing. Nice job, dummy."
55	傍	Nearby,Side	Leader,Stand,Direction	ｲ,立,方	"The <radical>leader</radical> is <radical>stand</radical>ing funny, facing a <radical>direction</radical> <kanji>nearby</kanji>. He can't go far because there's obviously something wrong with his feet. He's stuck nearby, very close to your side.<br><br>

- Hint: Picture the leader very close to your side. He's looking off into the distance, a distance he'll never get to because all he can do is stand there with his messed up feet."	<reading><jp>ぼう</jp></reading>	<jp>かたわ, わき, おか, はた, そば</jp>	None	ぼう	"You decide to bring the leader to a <kanji>nearby</kanji> <reading>bow</reading>ling (<jp>ぼう</jp>) alley. It's really close and you can stay right by his side as he throws bowling balls and gets his anger out.<br><br>

- Hint: Picture the leader bowling nearby. You keep him close by, you never know when he'll fall over and need your help."
55	悼	Grieve,Mourn	Soul,Toe,Early	忄,ト,早	"The <radical>soul</radical> in your <radical>toe</radical> leaves <radical>early</radical>. You <kanji>grieve</kanji> and <kanji>mourn</kanji> for your now-dead toe.<br><br>

- Hint: Look at your toe. It has no soul. It's dark and shriveled, like a mummy's toe. Grieve and watch your tears drip onto it."	<reading><jp>とう</jp></reading>	<jp>いた</jp>	None	とう	"You decide to <kanji>grieve</kanji> in <reading><jp>とう</jp></reading>. Your toe always wanted to walk in <jp>とうきょう</jp>, and now you can at least fulfill its dying wish.<br><br>

- Hint: Walk through the streets of <jp>とうきょう</jp> grieving, with your dead toe flopping onto the pavement."
55	佳	Excellent,Skilled	Leader,Dirt	ｲ,土	"A <radical>leader</radical> gets double the <radical>dirt</radical> to build on if he's the most <kanji>excellent</kanji> and most <kanji>skilled</kanji> of all the leaders. You don't think dirt is so great? Well what if I took the dirt you own away from you? Your house is on that dirt. It's mine now. Get outta here.<br><br>

- Hint: Imagine being so excellent at leading, that you get double the dirt that everyone else gets."	<reading><jp>か</jp></reading>	None	None	か	"This <kanji>excellent</kanji> leader is going to use all this dirt to store her excellent <reading>ca</reading>rs (<jp>か</jp>)! Excellent people have to have cars in equal or greater than excellent-ness than themselves.<br><br>

- Hint: Imagine your own car. Is it as excellent as you?"
55	惜	Frugal	Soul,Long Ago	忄,昔	"Your <radical>soul</radical> <radical>long ago</radical> was very <kanji>frugal</kanji>, which is why you get to have too much in this life!<br><br>

- Hint: Thank you soul, for being frugal so that I can have so much now."	<reading><jp>せき</jp></reading>	<jp>お</jp>	None	せき	"You know what being <kanji>frugal</kanji> is? <reading>Sexy</reading> (<jp>せき</jp>). You save money, you use less resources, that's the sexiest thing I can think of.<br><br>

- Hint: If you want your spouse or S.O. to think you're more sexy, just be more frugal. They'll definitely appreciate it and see you in a different light."
55	栃	Horse Chestnut	Tree,Cliff,Ten Thousand	木,厂,万	"You see a <radical>tree</radical> growing on a <radical>cliff</radical> and it has <radical>ten thousand</radical> <kanji>horse chestnut</kanji>s growing on it. These trees are rare, only grow on cliffs, and they always have exactly ten thousand horse chestnuts on each one. <br><br>

- Hint: Picture this tree, weighed down by it's own horse chestnuts, leaning over the edge of the cliff."	None	<reading><jp>とち</jp></reading>	None	とち	"You decide to take a bite of a <kanji>horse chestnut</kanji> because it looks yummy, and there are ten thousand, so it's not like anyone will notice. You crack it open and take a nice big bite to find out that it tastes like <reading>toe chee</reading>se (<jp>とち</jp>)! UHG! It's the worst thing you've ever tasted. Like hot, moldy toe cheese! Ewwww! <br><br>

- Hint: Horse chestnuts taste like nasty toe cheese. Imagine what having one in your mouth would be like. "
55	朴	Simple,Crude	Tree,Toe	木,ト	"You decide to carve a <radical>tree</radical> into a giant replica of your big <radical>toe</radical> because you think it will be really <kanji>simple</kanji>. Once you're done though, it looks like a really <kanji>crude</kanji> attempt at a fat, lumpy blob. Maybe carving isn't as simple as you thought.<br><br>

- Hint: Imagine carving a really simple, crude toe from a tree. It's your first attempt, so I guess you should have known it wouldn't be great."	<reading><jp>ぼく</jp></reading>	<jp>えのき, ほう, ほお</jp>	None	ぼく	"You're admiring your <kanji>simple</kanji> looking toe tree when a lumberjack runs up and asks who created it. <reading><jp>ぼく</jp></reading>, you say. As in ""I"" said it, in a manly dude, way. He doesn't seem to believe you, so you say it a few more times. <jp>ぼく</jp> <jp>ぼく</jp> <jp>ぼく</jp>!<br><br>

- Hint: Who carved this simple toe? <jp>ぼく</jp>!"
55	憂	Grief	Hundred,Forehead,Heart,Winter	百,冖,心,夂	"A <radical>hundred</radical> <radical>forehead</radical>s lower themselves to their <radical>heart</radical>s in <radical>winter</radical> in <kanji>grief</kanji>. There were once many of their kind, the forehead peoples, but now there are only a hundred left after this harsh winter took the rest of them. Their grief is immense.<br><br>

- Hint: Imagine if winter was so brutal that there were only one hundred human foreheads left. You lost all of your friends and family. Feel that grief."	<reading><jp>ゆう</jp></reading>	<jp>う, うれ</jp>	None	ゆう	"Their <kanji>grief</kanji> intensifies because all of the foreheads they lost belonged to <reading>you</reading>ths (<jp>ゆう</jp>). Dead youths everywhere. Now there's no one left to repopulate the world.<br><br>

- Hint: Grief for youths is so painful. No one should have to bury their forehead child."
55	奉	Dedicate	Spring,Dry	"<i class=""radical-spring""></i>,干"	"When <radical>spring</radical> is <radical>dry</radical> you need to <kanji>dedicate</kanji> your time and effort somewhere else. You can't plant flowers or vegetables, it's too dry. You can't play outside, your skin will flake. So you need to dedicate yourself to something inside.<br><br>

- Hint: You know how you get. When you can't go outside, you dedicate yourself full force into something else. I mean, you made it to level 55, right? That's some serious dedication. And it probably started because of one particularly dry spring."	<reading><jp>ほう, ぶ</jp></reading>	<jp>たてまつ, まつ, ほう</jp>	None	ほう, ぶ	"You decide to <kanji>dedicate</kanji> yourself to your <reading>ho</reading>me (<jp>ほう</jp>). You don't want to be outside in the dry spring air, so you focus on home activities. You can clean the kitchen, build a shelf, or dedicate your time to your home internet system.<br><br>

- Hint: Dedicate yourself to doing things in your home! Haha, who are we kidding, you already did that.<br><br>

- Hint: We love you, nerd. ♡"
